endpoint	JIVO_MART	JIVO_OIL	JIVO_BEVERAGES
/warehouse/bst/gate/expected-outwards/	200	200	200
/warehouse/bst/incoming/	200	200	200
/warehouse/bst/partial-transfers/	200	200	200
/warehouse/bst/sap-transfers/	200	200	200
/warehouse/fg-receipts/	200	200	200
/warehouse/fg-receipts/create/	405	405	405
/warehouse/stock/check/	405	405	405
/warehouse/wms/batches/expiry/	404	404	404
/warehouse/wms/billing/overview/	404	404	404
/warehouse/wms/dashboard/	404	404	404
/warehouse/wms/item-groups/	200	200	200
/warehouse/wms/sales-orders/backlog/	404	404	404
/warehouse/wms/stock/movements/	404	404	404
/warehouse/wms/stock/overview/	404	404	404
/warehouse/wms/transfers/overview/	404	404	404
/warehouse/wms/warehouses/	200	200	200
/warehouse/wms/warehouses/summary/	404	404	404
