surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/listing/commission-calc-mps	UNKNOWN_READLIKE	fetchCommissionApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/conversion-insights	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/core-size-variant-for-a-groupid	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/entityDefinition	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fadetails	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fassured/details	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetch-deactivation-codes-count	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetch-default-location	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetch-recommendations-filter-count	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetch-seller-potential-sales-loss	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetchAllVariants	UNKNOWN_READLIKE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetchAllVariantsData	UNKNOWN_READLIKE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetchFsnGrade	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/fetchRecentBrands	UNKNOWN_READLIKE	fetchApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/filtered-inventory-info	UNKNOWN_READLIKE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-complete-category-tree	UNKNOWN_READLIKE		4334.d6eb70a751dec8ae847d.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-listings-deactivation-rating	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-listings-info-by-id	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-listings-suppresion-benchmark	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-listings-tier	UNKNOWN_READLIKE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-lqs-insight-recos	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-minoq-realized-impact	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-minoq-social-impact	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-misc-card-reviews	UNKNOWN_READLIKE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-product-base-info	UNKNOWN_READLIKE		2056.20eacbab222e3f0033e8.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/get-recommendations-impact	UNKNOWN_READLIKE		731.f6104eadedda7632a7ac.js
