surface	method	host	path	class	const	evidence_file
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/getPartialDraft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/predict-vertical	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/save-recommended-vertical	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/save-variants-data	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/submit	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/updatePartial	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/create-variant	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/delete-variants	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/v1/fetch-variant-definition	WRITE		5700.460cdf57b00102e6f476.js
seller	GET	seller.flipkart.com	/napi/createProductV2/verticalDefinition	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/createProductV2/verticalDefinitionV2	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/darwin/finalTier	UNKNOWN	fetchDarwinApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/document/download	READ_FILE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/document/upload	WRITE	baseUrl	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/create-draft	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/delete-request	WRITE	deleteApi	5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/fetchQCInProgressStatus	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/get-drafts	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/edit-product/get-summary	WRITE		5700.460cdf57b00102e6f476.js
