surface	method	host	path	class	const	file
seller	UNKNOWN	seller.flipkart.com	/napi/listing/return-reco-update	WRITE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/saveVerticalPredictionsResponse	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/settlement-commissions	WRITE		731.f6104eadedda7632a7ac.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/settlement-commissions-landing-forward-flow-zone	WRITE		remote-802.2d4188eb748944aba10c.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/stockFileDownloadNUploadHistory	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/stockFileUploadRequestStatus	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/submit-size-chart	WRITE	updateApi	remote-listingsManagement-307.b261693db46ec914efad.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/update-moq-fsp	WRITE		3464.cdf8e4ca098a1a73e48a.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/update-size-chart	WRITE	updateWithPutApi	remote-listingsManagement-307.b261693db46ec914efad.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/updateInventory	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/updateSellingPrice	WRITE		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/uploadCatalogFileV2	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/uploadGroupingFile	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/uploadStockFile	WRITE		remote-345.87db87b7d58f48047a28.js
seller	UNKNOWN	seller.flipkart.com	/napi/listing/video-context-create	WRITE		remote-listingsManagement-843.ac90229ed823f8648971.js
seller	UNKNOWN	seller.flipkart.com	/napi/listingVideos/upload-video-chunk	WRITE		5700.460cdf57b00102e6f476.js
seller	UNKNOWN	seller.flipkart.com	/napi/listings-rest/fashion-trends-bulk-upload	WRITE		4334.d6eb70a751dec8ae847d.js
seller	GET	seller.flipkart.com	/napi/manageProfile/addSellerHoliday	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/create-	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/createRegisteredApplication	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteAccountWithOtp	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteAllAppSession	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteAppSession	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteCalendarHolidays	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteOtherAppSession	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/deleteRegisteredApplication	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/dummyFileUpload-multilocation	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/fileUpload	WRITE		remote-835.7ee13e4db62466071a4a.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/generateOTPSelfServePhone	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/generateOtp	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	GET	seller.flipkart.com	/napi/manageProfile/getRegisteredApplications	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/revokeRegisteredApplication	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/rules-confirmation	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/saveLogisticsSetting	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/submitEmailDetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/update-gstin-loc-details	WRITE	fetchApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateBankDetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateBusinessDetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateContactDetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateDisplayDetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateEmailOtp	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateFADetails	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateGstin	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateInvoiceAddress	WRITE		remote-manageProfile-617.e9731b9e51151edcea56.js
seller	GET	seller.flipkart.com	/napi/manageProfile/updateOTPSelfServePhone	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updatePocDetails	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateSellerPreference	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateTwoFactorDetails/v2	WRITE	updateApi	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/manageProfile/updateWorkingHours	WRITE	submitUrl	remote-manageProfile-617.e9731b9e51151edcea56.js
seller	UNKNOWN	seller.flipkart.com	/napi/mark-all-notifications	WRITE	updateApi	90.4722bfd3fec2521faf2e.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics-rest/category-mandate/settlement-file/initiate	WRITE		3750.0df68f127a9462052f7b.js
seller	GET	seller.flipkart.com	/napi/metrics-rest/category-mandate/settlement-file/poll	WRITE		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics-rest/competitor-products/bulk-upload	WRITE		484.a77f6a5493c8736e2163.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics-rest/settlement-template-upload/	WRITE		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics-rest/settlement-updated-file-upload/	WRITE		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/category/generatedReports	WRITE	generatedReportsFetchApi	484.a77f6a5493c8736e2163.js
seller	PUT	seller.flipkart.com	/napi/metrics/bizReport/deleteScheduledReport	WRITE		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/downloadReport	EXPORT		304.fa6a0b601c260dd26c66.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/downloadReport/	EXPORT		171.83ac6fa44938bd3d361c.js
seller	PUT	seller.flipkart.com	/napi/metrics/bizReport/editScheduledReport	WRITE		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/generatedReportsCount	EXPORT	fetchGeneratedReportsCountApi	484.a77f6a5493c8736e2163.js
seller	GET	seller.flipkart.com	/napi/metrics/bizReport/getScheduledReports	WRITE		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generate-report	EXPORT	GENERATE_API	3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateCatalogueReport	EXPORT	GENERATE_API	3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateConversionReport	EXPORT	GENERATE_API	3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateInventoryReport	EXPORT	fetchApi	568.6240cd028e3ec8a1a88a.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateLatchOnReport	EXPORT	GENERATE_API	3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateOrdersReport	EXPORT	GENERATE_API	484.a77f6a5493c8736e2163.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateOrdersReportOutput	EXPORT	GENERATE_API	484.a77f6a5493c8736e2163.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generatePriceRecoReport	EXPORT		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateReport	EXPORT	GENERATE_API	484.a77f6a5493c8736e2163.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateReturnsReport	EXPORT	GENERATE_API	3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generateSettelmentPriceRecoReport	EXPORT		3750.0df68f127a9462052f7b.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/bizReport/report/generatedReports	EXPORT	generatedReportsFetchApi	484.a77f6a5493c8736e2163.js
seller	PUT	seller.flipkart.com	/napi/metrics/bizReport/retryReports	WRITE		171.83ac6fa44938bd3d361c.js
seller	GET	seller.flipkart.com	/napi/metrics/bizReport/submitReport	WRITE		171.83ac6fa44938bd3d361c.js
seller	UNKNOWN	seller.flipkart.com	/napi/metrics/darwin/updateQuetionnaireResponse	WRITE		3750.0df68f127a9462052f7b.js
