ItemCode	Warehouse	OUT90	RET90	IN90
PM0000722	BH-PC	2857.1	0	0
FG0000443	BH-PF	1	0	5101
PM0000892	BH-PC	5201	0	0
PM0000893	BH-PC	5201	0	0
FG0000440	BH-PF	5201	0	5201
FG0000407	BH-PF	2	0	150600
FG0000318	BH-GR	372	524	524
FG0000151	BH-GR	691	92	92
FG0000009	BH-GR	780	169	169
FG0000004	BH-GR	1028	486	486
FG0000306	BH-GR	60	56	56
FG0000081	BH-GR	884	164	168
FG0000149	BH-GR	443	126	126
FG0000150	BH-GR	1159	439	439
FG0000142	BH-GR	190	114	114
FG0000005	BH-GR	2903	902	902
FG0000070	BH-GR	54	39	39
FG0000193	BH-GR	149	71	71
FG0000028	BH-GR	2989	820	836
FG0000147	BH-GR	134	124	124
FG0000032	BH-GR	2156	587	627
PM0000053	BH-NM	0	0	0
PM0000470	BH-NM	0	0	0
PM0000470	BH-PM	15610	0	80490
PM0000852	BH-SDL	1082838	0	0
FG0000379	GP-FG	116092	0	4200
PM0000260	BH-PC	1468	0	0
PM0000784	BH-PC	7968	0	0
PM0000785	BH-PC	7968	0	0
PM0000408	BH-BS	0	0	0
PM0000408	BH-PC	121312	0	0
PM0000409	BH-BS	0	0	0
PM0000409	BH-PC	1141	0	0
PM0000056	BH-PM	0	0	4830
FG0000152	BH-PF	0	0	1080
FG0000003	BH-GR	189	189	189
FG0000038	BH-GR	1678	212	212
FG0000116	BH-GR	126	528	528
FG0000157	BH-GR	12	276	276
FG0000012	BH-GR	111	2	2
FG0000404	BH-GR	2	2	2
FG0000152	GP-FG	1080	0	0
FG0000185	BH-EC	0	0	0
FG0000185	BH-SC	0	0	0
FG0000186	BH-EC	0	0	0
FG0000186	BH-SC	0	0	0
FG0000183	BH-EC	0	0	0
FG0000183	BH-SC	0	0	0
FG0000184	BH-EC	0	0	0
FG0000184	BH-SC	0	0	0
FG0000362	BH-EC	0	0	0
FG0000362	BH-SC	0	0	0
FG0000312	BH-EC	0	0	0
FG0000312	BH-SC	0	0	0
FG0000332	BH-EC	0	0	0
FG0000332	BH-SC	0	0	0
FG0000334	BH-EC	0	0	0
FG0000334	BH-SC	0	0	0
FG0000187	BH-EC	0	0	0
FG0000187	BH-SC	0	0	0
PM0000825	BH-EC	0	0	0
PM0000825	BH-SC	0	0	0
PM0000246	BH-EC	0	0	0
PM0000246	BH-SC	0	0	0
PM0000276	BH-EC	0	0	0
PM0000276	BH-SC	0	0	0
FG0000344	BH-EC	3	0	0
FG0000344	BH-SC	0	0	0
FG0000029	BH-EC	0	0	0
FG0000029	BH-SC	0	0	0
FG0000352	BH-EC	0	0	0
FG0000352	BH-SC	0	0	0
PM0000071	BH-EC	0	0	0
PM0000071	BH-SC	0	0	0
FG0000189	BH-EC	0	0	0
FG0000189	BH-SC	0	0	0
FG0000088	BH-EC	10050	0	0
FG0000088	BH-SC	0	0	0
FG0000047	BH-EC	0	0	0
FG0000047	BH-SC	0	0	0
FG0000142	BH-EC	247676	0	0
FG0000142	BH-SC	0	0	0
FG0000081	BH-EC	83968	0	0
FG0000081	BH-SC	0	0	0
FG0000064	BH-EC	11330	320	320
FG0000064	BH-SC	0	0	0
FG0000149	BH-EC	0	0	0
FG0000149	BH-SC	0	0	0
FG0000038	BH-EC	0	0	0
FG0000038	BH-SC	0	0	0
FG0000114	BH-EC	0	0	0
FG0000114	BH-SC	0	0	0
FG0000021	BH-EC	60	7	7
FG0000021	BH-SC	0	0	0
FG0000020	BH-EC	0	0	0
FG0000020	BH-SC	0	0	0
FG0000232	BH-EC	120	0	0
FG0000232	BH-SC	0	0	0
FG0000194	BH-EC	52482	2	2
FG0000194	BH-SC	0	0	0
FG0000374	BH-EC	1555	0	0
FG0000374	BH-SC	0	0	0
PM0000194	BH-WST	0	0	0
PM0000230	BH-WST	0	0	0
PM0000231	BH-WST	0	0	0
PM0000722	BH-WST	0	0	0
PM0000401	BH-WST	0	0	0
PM0000629	BH-WST	0	0	0
PM0000006	BH-WST	0	0	0
PM0000408	BH-WST	0	0	0
PM0000784	BH-WST	0	0	0
PM0000785	BH-WST	0	0	0
PM0000409	BH-WST	0	0	0
FG0000388	BH-SC	21	0	0
PM0000900	BH-BS	0	0	0
PM0000901	BH-BS	0	0	0
PM0000031	BH-PM	0	0	12800
PM0000031	BH-BS	0	0	0
PM0000008	BH-PM	0	0	8548
PM0000008	BH-BS	0	0	0
RM0000013	BH-GJ	0	0	48021.93
FG0000038	GP-FG	22770	0	1900
FG0000299	GP-FG	38620	0	1236
PM0000031	BH-PC	8707	0	0
PM0000008	BH-PC	8432	0	0
RM0000040	BH-LO	0	0	15370
RM0000040	BH-PC	15308	0	0
FG0000228	BH-PF	3600	36	8004
FG0000232	BH-PF	960	3	1471
