ItemCode	ItemName	ItmsGrpNam	InvntryUom	U_TYPE	U_Sub_Group	frozenFor	WhsCode	WhsName	OnHand	IsCommited	OnOrder	StockValue
PM0000224	TIKKI 1+1 COMBO PACK 650	PACKAGING MATERIAL	PCS		TIKKI	N	PB-ST	Punjab Sai Trading C & F	1685	0	0	0
PM0000224	TIKKI 1+1 COMBO PACK 650	PACKAGING MATERIAL	PCS		TIKKI	N	BH-PC	Bhakharpur Production Consumption	4229	0	22000	1353.28
PM0000224	TIKKI 1+1 COMBO PACK 650	PACKAGING MATERIAL	PCS		TIKKI	N	BH-WST	Bhakharpur WASTAGE	159	0	0	16.32
PM0000224	TIKKI 1+1 COMBO PACK 650	PACKAGING MATERIAL	PCS		TIKKI	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	32000	22000	0	-8624
FG0000444	SOYABEAN OIL 12 KGS (B)	FINISHED	PCS	COMMODITY	SOYABEAN	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	2462	0	0
FG0000444	SOYABEAN OIL 12 KGS (B)	FINISHED	PCS	COMMODITY	SOYABEAN	N	BH-PF	Bhakharpur Production Finished 1st Floor	1789	0	0	3387587.61
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PC	Bhakharpur Production Consumption	230.67	376	0	7649.77
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PP	Bhakharpur Production Process 1st Floor	2028.33	0	0	61669.33
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-PM	Bhakharpur Packaging Materials 1st Floor	3590	0	1370	98910.3
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-GR	Bhakharpur GR	0	0	0	0.1
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	PB-ST	Punjab Sai Trading C & F	260	0	0	3368
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	BH-WST	Bhakharpur WASTAGE	8.34	0	0	258.54
PM0000012	CARTON 5 LTR 3 PCS	PACKAGING MATERIAL	PCS		CARTON	N	GP-PM	Gupta Godown Packaging Material	0	1370	0	380.8
FG0000423	COLD PRESS SUNFLOWER 1 LTR 24 PCS	FINISHED	PCS	COMMODITY	SUNFLOWER	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	16	0	0	2556.27
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	0	344	0	0
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-BT	Bhakharpur New Basement	1862	0	0	440463.69
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-PF	Bhakharpur Production Finished 1st Floor	108	0	0	25547.84
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-FG	Bhakharpur Finished Basement	5046	0	32	2904115.79
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	BH-WST	Bhakharpur WASTAGE	1	0	0	167.15
FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	FINISHED	PCS	PREMIUM	OLIVE	N	DL-PS	PRESHIT SAMAGAM	2	32	0	547.68
FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-FG	Bhakharpur Finished Basement	0	12	0	0
FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	2	0	1212	959.53
FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-WST	Bhakharpur WASTAGE	4	0	0	1729.87
FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	18	242	0	8635.8
FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	FINISHED	PCS	COMMODITY	MUSTARD	N	GP-FG	GUPTA GODOWN BASEMENT FINISHED GODOWN	8	1120	0	23384.66
FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	FINISHED	PCS	COMMODITY	MUSTARD	N	PB-JP	Punjab Grover Agency Jagraon C & F	236	0	0	184266.52
FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	FINISHED	PCS	COMMODITY	MUSTARD	N	BH-BT	Bhakharpur New Basement	4	0	0	2966.19
FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	FINISHED	PCS	COMMODITY	MUSTARD	N	BH-WST	Bhakharpur WASTAGE	17	0	0	12587.04
FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-WST	Bhakharpur WASTAGE	8	0	0	4582.61
FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	FINISHED	PCS	PREMIUM	CANOLA	N	BH-PF	Bhakharpur Production Finished 1st Floor	2	0	0	1296.03
