code,factory_name,mark4_name,factory_identity_name,factory_units,mark4_units,units_delta_mark4_minus_factory,factory_litres,mark4_litres,litres_delta_mark4_minus_factory,factory_litres_per_unit,mark4_litres_per_unit
FG0000178,MUSTARD KACHI GHANI 15 KGS,MUSTARD KACHI GHANI 15 KGS(PRINTED),MUSTARD KACHI GHANI 15 KGS,2124.000,2123.0,-1.000,35010.954,35000.0,-10.954,16.483500,16.4835
FG0000187,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,3000.000,3000.0,0.000,3000.000,3000.0,0.000,1.000000,1.0
FG0000189,ZANO POMACE OLIVE 1 LTR 16 PCS,ZANO POMACE OLIVE 1 LTR 16 PCS,ZANO POMACE OLIVE 1 LTR 16 PCS,10000.000,10000.0,0.000,10000.000,10000.0,0.000,1.000000,1.0
FG0000191,SOYABEAN OIL 15 LTR,SOYABEAN OIL 15 LTR,SOYABEAN OIL 15 LTR,5000.000,5000.0,0.000,75000.000,75000.0,0.000,15.000000,15.0
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,SOYABEAN OIL 5 LTR 4 PCS,SOYABEAN OIL 5 LTR 4 PCS,6000.000,6000.0,0.000,30000.000,30000.0,0.000,5.000000,5.0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,SOYABEAN OIL 1 LTR 20 PCS,SOYABEAN OIL 1 LTR 20 PCS,35000.000,35000.0,0.000,35000.000,35000.0,0.000,1.000000,1.0
FG0000194,SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN OIL 1 LTR POUCH 12 PCS,SOYABEAN OIL 1 LTR POUCH 12 PCS,150000.000,150000.0,0.000,150000.000,150000.0,0.000,1.000000,1.0
FG0000226,RICE BRAN OIL 5 LTR 4 PCS,RICE BRAN OIL 5 LTR 4 PCS,RICE BRAN OIL 5 LTR 4 PCS,5200.000,5200.0,0.000,26000.000,26000.0,0.000,5.000000,5.0
FG0000227,RICE BRAN OIL 1 LTR 16 PCS,RICE BRAN OIL 1 LTR 16 PCS,RICE BRAN OIL 1 LTR 16 PCS,21000.000,21000.0,0.000,21000.000,21000.0,0.000,1.000000,1.0
FG0000228,SO OLIVE OIL 1 LTR 16 PCS,SO OLIVE OIL 1 LTR 16 PCS,SO OLIVE OIL 1 LTR 16 PCS,15000.000,15000.0,0.000,15000.000,15000.0,0.000,1.000000,1.0
