row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
42,FG0000187,ZANO,PREMIUM,EXTRA VIRGIN,ZANO EXTRA VIRGIN,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,1.000,PET,16.000,16.000,,3.0,0.0,3.0
83,FG0000370,JIVO,PREMIUM,EXTRA LIGHT,EXTRA LIGHT,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,3.000,TIN,18.000,6.000,,0.0,3.0,3.0
115,FG0000137,SANO,COMMODITY,MUSTARD,SANO MUSTARD,SANO MUSTARD OIL 5 LTR 4 PCS,5.000,PET,20.000,4.000,,2.0,0.0,2.0
88,FG0000155,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,2.000,PET,20.000,10.000,,0.0,2.0,2.0
45,FG0000006,JIVO,PREMIUM,POMACE,POMACE,POMACE OLIVE 200 LTR 1 PCS,200.000,DRUM,200.000,1.000,,1.0,0.0,1.0
44,FG0000352,JIVO,OTHER PREMIUM,SESAME,SESAME,SESAME OIL (TOASTED) 500 MLS 12 PCS,0.500,PET,6.000,12.000,,1.0,0.0,1.0
35,FG0000039,JIVO,PREMIUM,EXTRA LIGHT,JIVO EL,EXTRA LIGHT OLIVE 500 MLS 24 PCS,0.500,PET,12.000,24.000,,0.5,0.0,0.5
46,FG0000112,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE 250 MLS 4 PCS,0.250,PET,1.000,4.000,,0.5,0.0,0.5
34,FG0000157,JIVO,PREMIUM,COCONUT,EV COCONUT,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,0.500,PET,12.000,24.000,,0.5,0.0,0.5
47,FG0000282,JIVO,PREMIUM,COCONUT,COCONUT,EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS,0.200,PET,1.200,6.000,,0.5,0.0,0.5
181,FG0000381,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN OLIVE OIL 10ML,0.010,PET,0.010,1.000,,0.3,0.0,0.3
