kind,code,name,uom,qty_aug01,planned_august,note
WIP,FG0000240,BASIL SEED 400 GMS 1 PCS,PCS,1,,WO 125026993 Planned/standard posted=2025-01-23 due=2025-01-23 whs=BH-PF planned=1 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000135,SANO CANOLA OIL 5 LTR 4 PCS,PCS,1,,WO 225026591 Planned/standard posted=2025-02-14 due=2025-02-14 whs=BH-PF planned=1 completed_by_1Aug=0 | no output yet; STALE posted>30d before 1-Aug
WIP,FG0000042,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,PCS,0,22000,WO 225026786 Released/standard posted=2025-02-28 due=2025-02-28 whs=BH-PF planned=6560 completed_by_1Aug=6560 | STALE posted>30d before 1-Aug
WIP,FG0000150,SANO POMACE OLIVE 1 LTR 16 PCS,PCS,0,60000,WO 225026787 Released/standard posted=2025-02-28 due=2025-02-28 whs=BH-PF planned=3520 completed_by_1Aug=3520 | STALE posted>30d before 1-Aug
WIP,FG0000047,COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS,PCS,0,,WO 225026789 Released/standard posted=2025-02-28 due=2025-02-28 whs=BH-PF planned=5670 completed_by_1Aug=5670 | STALE posted>30d before 1-Aug
WIP,FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,PCS,0,,WO 225026790 Released/standard posted=2025-02-28 due=2025-02-28 whs=BH-PF planned=400 completed_by_1Aug=400 | STALE posted>30d before 1-Aug
WIP,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PCS,0,220000,WO 325026506 Released/standard posted=2025-03-04 due=2025-03-04 whs=BH-PF planned=9340 completed_by_1Aug=9340 | STALE posted>30d before 1-Aug
WIP,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PCS,0,220000,WO 325026507 Released/standard posted=2025-03-04 due=2025-03-04 whs=BH-PF planned=7600 completed_by_1Aug=7600 | STALE posted>30d before 1-Aug
WIP,FG0000028,POMACE OLIVE 1 LTR 16 PCS,PCS,0,160000,WO 325026513 Released/standard posted=2025-03-06 due=2025-03-06 whs=BH-PF planned=4688 completed_by_1Aug=4688 | STALE posted>30d before 1-Aug
WIP,FG0000243,SANO MUSTARD OIL 869 GMS 20 PCS,PCS,0,,WO 325026515 Released/standard posted=2025-03-06 due=2025-03-06 whs=BH-PF planned=10060 completed_by_1Aug=10060 | STALE posted>30d before 1-Aug
WIP,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,PCS,0,220000,WO 325026516 Released/standard posted=2025-03-06 due=2025-03-06 whs=BH-PF planned=5940 completed_by_1Aug=5940 | STALE posted>30d before 1-Aug
WIP,FG0000024,COLD PRESS 1 LTR 24 PCS,PCS,0,,WO 325026517 Released/standard posted=2025-03-06 due=2025-03-06 whs=BH-PF planned=11088 completed_by_1Aug=11088 | STALE posted>30d before 1-Aug
WIP,FG0000028,POMACE OLIVE 1 LTR 16 PCS,PCS,0,160000,WO 325026530 Released/standard posted=2025-03-07 due=2025-03-07 whs=BH-PF planned=2672 completed_by_1Aug=2672 | STALE posted>30d before 1-Aug
WIP,FG0000023,COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED,PCS,0,,WO 325026531 Released/standard posted=2025-03-07 due=2025-03-07 whs=BH-PF planned=66 completed_by_1Aug=66 | STALE posted>30d before 1-Aug
WIP,FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,PCS,0,2000,WO 325026532 Released/standard posted=2025-03-07 due=2025-03-07 whs=BH-PF planned=164 completed_by_1Aug=164 | STALE posted>30d before 1-Aug
WIP,FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),PCS,0,4000,WO 325026547 Released/DISASSEMBLY posted=2025-03-07 due=2025-03-07 whs=BH-PF planned=60 completed_by_1Aug=60 | disassembly order; STALE posted>30d before 1-Aug
WIP,FG0000008,POMACE OLIVE 5 LTR TIN 4 PCS,PCS,0,31000,WO 425926614 Released/standard posted=2025-04-12 due=2025-04-12 whs=BH-PF planned=712 completed_by_1Aug=712 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 525926620 Released/standard posted=2025-05-14 due=2025-05-14 whs=BH-GJ planned=45604.35 completed_by_1Aug=45604.35 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926657 Released/standard posted=2025-06-06 due=2025-06-06 whs=BH-GJ planned=9769.221 completed_by_1Aug=9769.221 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926568 Released/standard posted=2025-06-10 due=2025-06-10 whs=BH-GJ planned=27439.533 completed_by_1Aug=27439.533 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926591 Released/standard posted=2025-06-12 due=2025-06-12 whs=BH-GJ planned=47208.744 completed_by_1Aug=47208.744 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926677 Released/standard posted=2025-06-17 due=2025-06-17 whs=BH-GJ planned=44384.571 completed_by_1Aug=44384.571 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926688 Released/standard posted=2025-06-19 due=2025-06-19 whs=BH-GJ planned=46406.547 completed_by_1Aug=46406.547 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926689 Released/standard posted=2025-06-19 due=2025-06-19 whs=BH-GJ planned=46857.096 completed_by_1Aug=46857.096 | STALE posted>30d before 1-Aug
WIP,RM0000037,COCONUT EXTRA VIRGIN OIL,LTR,0,,WO 625926763 Released/standard posted=2025-06-22 due=2025-06-22 whs=BH-GJ planned=600 completed_by_1Aug=600 | STALE posted>30d before 1-Aug
WIP,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,LTR,0,,WO 625926715 Released/standard posted=2025-06-23 due=2025-06-23 whs=BH-EX planned=215362.422 completed_by_1Aug=215362.422 | STALE posted>30d before 1-Aug
