code,name,uom,po_docnum,vendor,order_date,due_date,qty_ordered,qty_received_by_aug1,qty_open_aug1,days_late_vs_due
CG0000007,REPAIR AND MAINTENACE BUILDING AND OFFICE,PCS,1025226565,DHANPURNA PUF INSULATION,2025-10-17,2025-10-30,10.000000,0.000000,10.000000,275
CG0000005,HOUSEKEEPING,PCS,1124226654,VISHAL TYAGI IMPREST (3L),2024-11-01,2024-11-30,10.000000,0.000000,10.000000,609
CG0000049,TIN SHED-NEW LAND WIP,KGS,126226559,GREEN METAL INFRA,2026-01-13,2026-01-30,10.000000,0.000000,10.000000,183
CG0000005,HOUSEKEEPING,PCS,1024226714,VISHAL TYAGI IMPREST (3L),2024-10-08,2024-11-06,10.000000,0.000000,10.000000,633
CG0000014,Paper RIM A4,PCS,1024226812,VISHAL TYAGI IMPREST (3L),2024-10-20,2024-12-21,10.000000,0.000000,10.000000,588
CG0000005,HOUSEKEEPING,PCS,1124226654,VISHAL TYAGI IMPREST (3L),2024-11-01,2024-11-30,10.000000,0.000000,10.000000,609
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,220726131,BANSAL WELD PRIVATE LIMITED,2026-07-25,2026-07-30,10.000000,0.000000,10.000000,2
CG0000005,HOUSEKEEPING,PCS,1024226714,VISHAL TYAGI IMPREST (3L),2024-10-08,2024-11-06,10.000000,0.000000,10.000000,633
CG0000031,BARCODE LABELS,PCS,1124226694,BHAGWATI INDUSTRIES,2024-11-20,2024-12-28,10.000000,0.000000,10.000000,581
FA0000266,LED FLOOD LIGHT 50W (GUPTA GODOWN),PCS,625226500,KULJIT TRADERS,2025-06-02,2025-06-15,10.000000,0.000000,10.000000,412
FA0000174,WALL FAN CN,PCS,525226638,RISHABH MARKETING CO,2025-05-25,2025-05-31,10.000000,0.000000,10.000000,427
CG0000034,INSTALLATION PARTS 50 KL TANK (FA0000024) (1213006),PCS,220426017,INDUSTRIAL AIDERS,2026-04-07,2026-04-30,10.000000,0.000000,10.000000,93
CG0000015,REFRESHMENT,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,10.000000,0.000000,10.000000,632
CG0000031,BARCODE LABELS,PCS,1224226647,BHAGWATI INDUSTRIES,2024-12-20,2024-12-28,10.000000,0.000000,10.000000,581
FG0000388,CHANA ALMOND BURFI 500 GMS,PCS,226226554,INDIYUM FOODS PRIVATE LIMITED,2026-02-13,2026-02-13,500.000000,490.000000,10.000000,169
CG0000049,TIN SHED-NEW LAND WIP,KGS,126226620,KRISHNA METAL & STEEL UDYOG,2026-01-23,2026-01-30,9.500000,0.000000,9.500000,183
FA0000004,BLOWING MACHINE (SIDEL) - 1204007,PCS,1024226766,MECH TECH ENGINEERS DKZPS8273M,2024-10-01,2024-11-15,8.710000,0.000000,8.710000,624
CF0000024,INSTALLATION PART-CONVEYOR SS304 -CLEARPACK 50 BPM,PCS,525226691,VEETA CONVEYORS ANOPV1426G,2025-05-10,2025-06-20,8.500000,0.000000,8.500000,407
CG0000031,BARCODE LABELS,PCS,1224226647,BHAGWATI INDUSTRIES,2024-12-20,2024-12-28,8.000000,0.000000,8.000000,581
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,725226547,JASMINE ELEVATORS & CRANES,2025-07-09,2025-07-20,8.000000,0.000000,8.000000,377
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,125226568,CLEARPACK AUTOMATION PVT LTD,2025-01-15,2025-01-30,8.000000,0.000000,8.000000,548
CF0000002,INSTALLATION PARTS ( MUSTARD OIL FULLY AUTOMATIC MONOBLOCK VOLUMETRIC FILLER & CAPPER-FA0000031 ),PCS,525226650,BOTTMAC INDIA PVT LTD,2025-05-30,2025-06-20,8.000000,0.000000,8.000000,407
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,PCS,220726047,SSY CONTAINERS PVT LTD,2026-07-10,2026-07-10,1588.000000,1580.000000,8.000000,22
CG0000015,REFRESHMENT,PCS,126226528,ISHWAR KIRYANA STORE,2026-01-08,2026-01-15,8.000000,0.000000,8.000000,198
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,725226547,JASMINE ELEVATORS & CRANES,2025-07-09,2025-07-20,8.000000,0.000000,8.000000,377
CG0000013,STATIONARY OTHER THAN PAPER RIM,PCS,325226676,RUCHIKA BOOK SHOP & FASHION SPOT,2025-03-26,2025-03-26,8.000000,0.000000,8.000000,493
CG0000049,TIN SHED-NEW LAND WIP,KGS,126226620,KRISHNA METAL & STEEL UDYOG,2026-01-23,2026-01-30,7.950000,0.000000,7.950000,183
CG0000049,TIN SHED-NEW LAND WIP,KGS,126226620,KRISHNA METAL & STEEL UDYOG,2026-01-23,2026-01-30,7.600000,0.000000,7.600000,183
CF0000021,INSTALLATION PART-CONVEYOR SS304 - J.PEE 90 BPM FA0000049,PCS,525226686,VEETA CONVEYORS ANOPV1426G,2025-05-10,2025-06-05,7.500000,0.000000,7.500000,422
CG0000024,CONCRETE WIP DOCK AND 1ST FLOOR EXTENSION (1212010),PCS,1024226807,SHREE RAM RMC,2024-10-01,2024-12-16,7.000000,0.000000,7.000000,593
FA0000323,JIVO PREMIUM TEA 250 GRM. PRINTING CYLINDER,PCS,126226649,M.M INDUSTRIES,2026-01-27,2026-01-31,7.000000,0.000000,7.000000,182
FA0000323,JIVO PREMIUM TEA 250 GRM. PRINTING CYLINDER,PCS,126226708,M.M INDUSTRIES,2026-01-27,2026-01-30,7.000000,0.000000,7.000000,183
FA0000397,TOUCH 22 INCH MONITOR,PCS,220726105,GREEN GATE INFOTECH PVT LTD,2026-07-01,2026-07-01,6.000000,0.000000,6.000000,31
FA0000116,EXHAUST FANS,PCS,525226638,RISHABH MARKETING CO,2025-05-25,2025-05-31,6.000000,0.000000,6.000000,427
CG0000007,REPAIR AND MAINTENACE BUILDING AND OFFICE,PCS,825226655,BAJAJ ELECTRICAL,2025-08-05,2025-09-03,6.000000,0.000000,6.000000,332
CF0000002,INSTALLATION PARTS ( MUSTARD OIL FULLY AUTOMATIC MONOBLOCK VOLUMETRIC FILLER & CAPPER-FA0000031 ),PCS,525226650,BOTTMAC INDIA PVT LTD,2025-05-30,2025-06-20,6.000000,0.000000,6.000000,407
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,125226623,VEETA CONVEYORS ANOPV1426G,2025-01-23,2025-01-27,6.000000,0.000000,6.000000,551
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,125226623,VEETA CONVEYORS ANOPV1426G,2025-01-23,2025-01-27,6.000000,0.000000,6.000000,551
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,125226623,VEETA CONVEYORS ANOPV1426G,2025-01-23,2025-01-27,6.000000,0.000000,6.000000,551
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,525226687,SURAJ BHAN RAM NIWAS,2025-05-01,2025-06-07,6.000000,0.000000,6.000000,420
CG0000068,BUILDING ITEM/HARDWARE ITEM FOR PEB SHED NEW LAND 2 ACRE,PCS,220726141,SHREE RAM RMC,2026-07-01,2026-08-03,19.500000,13.500000,6.000000,-2
CG0000034,INSTALLATION PARTS 50 KL TANK (FA0000024) (1213006),PCS,220426076,INDUSTRIAL AIDERS,2026-04-01,2026-04-20,10.000000,4.000000,6.000000,103
CG0000049,TIN SHED-NEW LAND WIP,KGS,126226620,KRISHNA METAL & STEEL UDYOG,2026-01-23,2026-01-30,5.400000,0.000000,5.400000,183
CG0000013,STATIONARY OTHER THAN PAPER RIM,PCS,1024226770,GOPAL DASS & BROS,2024-10-26,2024-10-26,5.000000,0.000000,5.000000,644
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,825226631,S.N. ENGINEERING,2025-08-28,2025-08-31,5.000000,0.000000,5.000000,335
CG0000005,HOUSEKEEPING,PCS,1024226714,VISHAL TYAGI IMPREST (3L),2024-10-08,2024-11-06,5.000000,0.000000,5.000000,633
CG0000015,REFRESHMENT,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,5.000000,0.000000,5.000000,632
CG0000015,REFRESHMENT,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,5.000000,0.000000,5.000000,632
CG0000015,REFRESHMENT,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,5.000000,0.000000,5.000000,632
CG0000015,REFRESHMENT,PCS,1024226724,BANSAL PROVISION STORE,2024-10-05,2024-11-07,5.000000,0.000000,5.000000,632
FA0000314,PRINTING CYLINDER-JIVO CANOLA OIL 1LTR,PCS,925226599,UFLEX LIMITED NEW,2025-09-24,2025-09-30,5.000000,0.000000,5.000000,305
FA0000313,PRINTING CYLINDER-JIVO KACHI GHANI MUSTARD OIL 1LTR,PCS,925226599,UFLEX LIMITED NEW,2025-09-24,2025-09-30,5.000000,0.000000,5.000000,305
CG0000024,CONCRETE WIP DOCK AND 1ST FLOOR EXTENSION (1212010),PCS,1124226679,SHREE RAM RMC,2024-11-10,2024-12-16,5.000000,0.000000,5.000000,593
CG0000005,HOUSEKEEPING,PCS,1124226654,VISHAL TYAGI IMPREST (3L),2024-11-01,2024-11-30,5.000000,0.000000,5.000000,609
CG0000024,CONCRETE WIP DOCK AND 1ST FLOOR EXTENSION (1212010),PCS,1124226680,SHREE RAM RMC,2024-11-10,2024-12-16,5.000000,0.000000,5.000000,593
CG0000024,CONCRETE WIP DOCK AND 1ST FLOOR EXTENSION (1212010),PCS,1224226586,SHREE RAM RMC,2024-12-16,2024-12-16,5.000000,0.000000,5.000000,593
CG0000007,REPAIR AND MAINTENACE BUILDING AND OFFICE,PCS,220726143,RAM BHAJ SURESH KUMAR,2026-07-25,2026-08-03,5.000000,0.000000,5.000000,-2
CG0000015,REFRESHMENT,PCS,525226667,KAMALPREET SINGH BHATIA FACTORY ( IMPREST 3L ),2025-05-20,2025-05-31,5.000000,0.000000,5.000000,427
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,220726131,BANSAL WELD PRIVATE LIMITED,2026-07-25,2026-07-30,5.000000,0.000000,5.000000,2
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,1224226677,MAHARAJA POLYURETHANE PRIVATE LTD.,2024-12-15,2025-01-02,5.000000,0.000000,5.000000,576
FA0000011,HAND DRYER (1205001),PCS,1124226568,DOLPHY INDIA PRIVATE LIMITED (AAGCD0925N),2024-11-01,2024-11-19,5.000000,0.000000,5.000000,620
CG0000015,REFRESHMENT,PCS,1224226583,VISHAL TYAGI IMPREST (3L),2024-12-05,2024-12-14,5.000000,0.000000,5.000000,595
CG0000015,REFRESHMENT,PCS,1224226583,VISHAL TYAGI IMPREST (3L),2024-12-05,2024-12-14,5.000000,0.000000,5.000000,595
CF0000037,ELECTRICAL WORK - TIN SHED NEW LAND,PCS,220426019,BATRA ELECTRIC STORE,2026-04-07,2026-04-30,5.000000,0.000000,5.000000,93
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,725226547,JASMINE ELEVATORS & CRANES,2025-07-09,2025-07-20,4.000000,0.000000,4.000000,377
FA0000116,EXHAUST FANS,PCS,625226530,RISHABH MARKETING CO,2025-06-13,2025-06-30,4.000000,0.000000,4.000000,397
CG0000003,REPAIR AND MAINTENANCE  PLANT AND MACHINERY,PCS,725226547,JASMINE ELEVATORS & CRANES,2025-07-09,2025-07-20,4.000000,0.000000,4.000000,377
FA0000404,HDD 8 TB WD,PCS,220726157,L B ENTERPRISE,2026-07-20,2026-08-29,4.000000,0.000000,4.000000,-28
