code,name,kind,uom,bom_level,make_or_buy,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
PM0000060,CAPS 1 & 2 LTR WHITE AND BLUE WITH LOGO,CAPS,PCS,1,BUY,6554.00,220542.00,24000.00,-213988.00,-237988.00,11.0,MAHESHWARI CAPS PVT LTD,18.3,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q)
PM0000027,LABEL 1 LTR REFINED TOP,LABEL,PCS,1,BUY,6300.00,12838.00,4000.00,-6538.00,-10538.00,0.0,GRAPHICS ELITE,1.0,MEDIA GRAPHIC PRINTS VEND
PM0000057,PET BOTTLE 2 LTR 66 GMS,PET BOTTLES,PCS,1,BUY,6269.60,38570.00,8400.00,-32300.40,-40700.40,63.1,TPAC PACKAGING INDIA PVT LTD II,63.1,TPAC PACKAGING INDIA PVT LTD II
PM0000071,SHRINKS 1 LTR 235X310,SHRINK,PCS,1,BUY,5610.15,86663.00,22000.00,-81052.85,-103052.85,12.1,MULTILAYER INDUSTRIES,12.1,MULTILAYER INDUSTRIES
PM0000908,LABEL 500 ML CP GROUNDNUT FRONT,LABEL,PCS,1,BUY,4936.00,8272.00,0.00,-3336.00,-3336.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000909,LABEL 500 ML CP GROUNDNUT BACK,LABEL,PCS,1,BUY,4936.00,8272.00,0.00,-3336.00,-3336.00,9.0,ROYAL PRIME LABELS,9.0,ROYAL PRIME LABELS
PM0000718,LABEL 1 LTR PRESSED MUSTARD OIL FRONT,LABEL,PCS,1,BUY,4905.35,2244.00,5000.00,2661.35,-2338.65,,,,
PM0000719,LABEL 1 LTR PRESSED MUSTARD OIL BACK,LABEL,PCS,1,BUY,4905.35,1399.00,5000.00,3506.35,-1493.65,,,,
PM0000835,TIN 5 LTR FP YELLOW MUSTARD OIL PRINTED,TIN,PCS,1,BUY,3350.80,4186.00,10010.00,-835.20,-10845.20,20.7,NATIONAL TIN INDUSTRIES,20.7,NATIONAL TIN INDUSTRIES
PM0000042,LABEL 2 LTR REFINED FRONT,LABEL,PCS,1,BUY,3210.00,14270.00,30.00,-11060.00,-11090.00,11.5,ROYAL PRIME LABELS,11.5,ROYAL PRIME LABELS
PM0000041,LABEL 2 LTR REFINED BACK,LABEL,PCS,1,BUY,3210.00,17171.00,30.00,-13961.00,-13991.00,11.5,ROYAL PRIME LABELS,11.5,ROYAL PRIME LABELS
PM0000122,TIKKI 100 MLS,TIKKI,PCS,1,BUY,3210.00,25588.00,2816.00,-22378.00,-25194.00,14.4,MEDIA GRAPHIC PRINTS VEND,14.4,MEDIA GRAPHIC PRINTS VEND
PM0000026,LABEL 1 LTR REFINED FRONT,LABEL,PCS,1,BUY,3090.00,123344.00,4000.00,-120254.00,-124254.00,11.0,ROYAL PRIME LABELS,11.0,ROYAL PRIME LABELS
PM0000025,LABEL 1 LTR REFINED BACK,LABEL,PCS,1,BUY,3090.00,119814.00,4000.00,-116724.00,-120724.00,11.0,ROYAL PRIME LABELS,11.0,ROYAL PRIME LABELS
PM0000403,TIKKI 100 MLS MUSTARD FREE,TIKKI,PCS,1,BUY,3090.00,33492.00,4000.00,-30402.00,-34402.00,5.7,MEDIA GRAPHIC PRINTS VEND,5.7,MEDIA GRAPHIC PRINTS VEND
PM0000059,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO,CAPS,PCS,1,BUY,3057.50,187551.00,0.00,-184493.50,-184493.50,,,,
PM0000039,LABEL 2 LTR PAKKI GHANI FRONT,LABEL,PCS,1,BUY,3057.50,25529.00,0.00,-22471.50,-22471.50,21.0,ROYAL PRIME LABELS,21.0,ROYAL PRIME LABELS
PM0000038,LABEL 2 LTR PAKKI GHANI BACK,LABEL,PCS,1,BUY,3057.50,20579.00,0.00,-17521.50,-17521.50,21.0,ROYAL PRIME LABELS,21.0,ROYAL PRIME LABELS
PM0000056,PET BOTTLE 100 MLS BOTTLES,PET BOTTLES,PCS,1,BUY,2932.00,23556.00,7583.00,-20624.00,-28207.00,41.1,ECHO PLAST INDIA,41.1,ECHO PLAST INDIA
PM0000394,CAP 100MLS/250MLS PET BOTTLE 1810 LONG NECK,PET JAR,PCS,1,BUY,2932.00,26993.00,5000.00,-24061.00,-29061.00,7.5,AMD INDUSTRIES LTD,7.5,AMD INDUSTRIES LTD
PM0000393,LABEL 100 MLS MUSTARD FRONT,LABEL,PCS,1,BUY,2932.00,6080.00,0.00,-3148.00,-3148.00,17.0,SAI DIGISTIK PRIVATE LIMITED,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000392,LABEL 100 MLS MUSTARD BACK,LABEL,PCS,1,BUY,2932.00,7400.00,0.00,-4468.00,-4468.00,17.0,SAI DIGISTIK PRIVATE LIMITED,17.0,SAI DIGISTIK PRIVATE LIMITED
PM0000729,CAPS INNER PET BOTTLE 250 MLS,CAPS,PCS,1,BUY,2932.00,40791.00,2600.00,-37859.00,-40459.00,1.8,PYARA LAL KAPUR AND SONS,4.0,SHIVAM SALES
PM0000825,CARTON 1 LTR 20 PCS NEW,CARTON,PCS,1,BUY,2900.78,5665.60,16314.00,-2764.83,-19078.83,11.1,SSY CONTAINERS PVT LTD,11.1,SSY CONTAINERS PVT LTD
PM0000634,CARTON 1 LTR 20 PCS SANO,CARTON,PCS,1,BUY,2895.89,8001.80,2418.00,-5105.91,-7523.91,12.3,SSY CONTAINERS PVT LTD,12.3,SSY CONTAINERS PVT LTD
PM0000878,TIKKI BARCODE CSD KGMO 1 LTR,LABEL,PCS,1,BUY,2182.20,885.00,0.00,1297.20,1297.20,2.0,MEDIA GRAPHIC PRINTS VEND,2.0,MEDIA GRAPHIC PRINTS VEND
PM0000584,PET BOTTLE 1 LTR 26 GM PLAIN,PET BOTTLES,PCS,1,BUY,2156.00,155681.00,0.00,-153525.00,-153525.00,53.6,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),93.0,BR AGROTECH LTD
PM0000578,LABEL 900 GM  MUSTARD FRONT  SANO,LABEL,PCS,1,BUY,2156.00,110715.00,0.00,-108559.00,-108559.00,,,,
PM0000577,LABEL 900 GM  MUSTARD BACK  SANO,LABEL,PCS,1,BUY,2156.00,149140.00,0.00,-146984.00,-146984.00,,,,
PM0000193,TIKKI 1 LTR EXTRA LIGHT FREE,TIKKI,PCS,1,BUY,2072.35,56335.00,19186.00,-54262.65,-73448.65,6.3,THE LABEL STORE AFOPC8295E,6.3,THE LABEL STORE AFOPC8295E
PM0000877,TIKKI BARCODE CSD KGMO 5 LTR,LABEL,PCS,1,BUY,2067.40,1225.00,0.00,842.40,842.40,2.0,MEDIA GRAPHIC PRINTS VEND,2.0,MEDIA GRAPHIC PRINTS VEND
PM0000842,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE FRONT LA RASOI,LABEL,PCS,1,BUY,1970.00,2970.00,0.00,-1000.00,-1000.00,4.0,ROYAL PRIME LABELS,4.0,ROYAL PRIME LABELS
PM0000841,LABEL 2 LTR CP CANOLA OIL HANDLE BOTTLE BACK LA RASOI,LABEL,PCS,1,BUY,1970.00,2970.00,0.00,-1000.00,-1000.00,4.0,ROYAL PRIME LABELS,4.0,ROYAL PRIME LABELS
PM0000402,TIKKI 1 LTR POMACE OLIVE FREE,TIKKI,PCS,1,BUY,1944.60,36260.00,5075.00,-34315.40,-39390.40,6.5,THE LABEL STORE AFOPC8295E,6.5,THE LABEL STORE AFOPC8295E
PM0000722,CARTON 1 LTR 20 PCS PET 75 GM,CARTON,PCS,1,BUY,1678.96,1602.47,301.00,76.49,-224.51,1.5,SSY CONTAINERS PVT LTD,1.5,SSY CONTAINERS PVT LTD
PM0000863,LABEL 5 LTR CANOLA FRONT (NIRMAL RISHI),LABEL,PCS,1,BUY,1640.75,24080.00,0.00,-22439.25,-22439.25,5.5,ROYAL PRIME LABELS,42.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000228,HDPE BOTTLE 4 LTR,HDPE BOTTLES,PCS,1,BUY,1602.60,10037.00,78400.00,-8434.40,-86834.40,15.4,ECHO PLAST INDIA,21.4,RAJ TECHNOPACK PVT LTD
PM0000226,LABEL 4 LTR COLD PRESS BACK,LABEL,PCS,1,BUY,1602.60,67812.00,5000.00,-66209.40,-71209.40,9.2,ROYAL PRIME LABELS,9.2,ROYAL PRIME LABELS
PM0000245,CARTON 5 LTR 4 PCS PET,CARTON,PCS,1,BUY,1512.46,3932.96,14.00,-2420.51,-2434.51,2.5,SSY CONTAINERS PVT LTD,2.5,SSY CONTAINERS PVT LTD
PM0000471,CAPS 5 LTR BLUE,CAPS,PCS,1,BUY,1394.60,10081.00,16855.00,-8686.40,-25541.40,1.0,A A ENTERPRISES,39.0,ECHO PLAST INDIA
PM0000052,LABEL 5 LTR REFINED FRONT,LABEL,PCS,1,BUY,1394.60,6258.00,0.00,-4863.40,-4863.40,17.5,ROYAL PRIME LABELS,17.5,ROYAL PRIME LABELS
PM0000051,LABEL 5 LTR REFINED BACK,LABEL,PCS,1,BUY,1394.60,14580.00,0.00,-13185.40,-13185.40,17.5,ROYAL PRIME LABELS,17.5,ROYAL PRIME LABELS
PM0000335,TIKKI 250 MLS,TIKKI,PCS,1,BUY,1394.60,10933.00,0.00,-9538.40,-9538.40,2.7,MEDIA GRAPHIC PRINTS VEND,2.7,MEDIA GRAPHIC PRINTS VEND
PM0000765,TIKKI BARCODE CSD 5 LTR CANOLA,TIKKI,PCS,1,BUY,1394.60,6981.00,0.00,-5586.40,-5586.40,2.3,MEDIA GRAPHIC PRINTS VEND,2.3,MEDIA GRAPHIC PRINTS VEND
