code,sku,week,litres
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,2,15000.0
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,3,15000.0
FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,4,15000.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,1,1250.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,2,1250.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,3,1250.0
FG0000149,JIVO GOLD 1 LTR 20 PCS,4,1250.0
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,1,6250.0
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,2,6250.0
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,3,6250.0
FG0000306,YELLOW MUSTARD OIL 1 LTR 20 PCS,4,6250.0
FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),1,8750.0
FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),2,8750.0
FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),3,8750.0
FG0000178,MUSTARD KACHI GHANI 15 KGS(PRINTED),4,8750.0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,1,5000.0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,2,5000.0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,3,5000.0
FG0000193,SOYABEAN OIL 1 LTR 20 PCS,4,5000.0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,1,2000.0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,2,2000.0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,3,2000.0
FG0000374,YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,4,2000.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,1,7500.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,2,7500.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,3,7500.0
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,4,7500.0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,1,7500.0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,2,7500.0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,3,7500.0
FG0000034,EXTRA LIGHT OLIVE 200 LTR 1 PCS,4,7500.0
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,1,7500.0
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,2,7500.0
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,3,7500.0
FG0000038,MUSTARD KACCHI GHANI 2 LTR 10 PCS,4,7500.0
FG0000128,JIVO GOLD 5 LTR 4 PCS,1,1250.0
FG0000128,JIVO GOLD 5 LTR 4 PCS,2,1250.0
FG0000128,JIVO GOLD 5 LTR 4 PCS,3,1250.0
FG0000128,JIVO GOLD 5 LTR 4 PCS,4,1250.0
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,1,5000.0
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,2,5000.0
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,3,5000.0
FG0000192,SOYABEAN OIL 5 LTR 4 PCS,4,5000.0
