run_id,date,line,run_number,item_code,product,pack_litres,pieces_per_case,litres_per_case,status,live_status,required_cases,produced_cases_closeout,produced_cases_segment_sum,closeout_minus_segments,produced_litres_closeout,rated_speed_used,preset_for_this_pack,rated_matches_a_preset,total_running_minutes,productive_segment_minutes,segments,achieved_pieces_per_hour,pct_of_rated,breakdown_count,breakdown_minutes,breakdown_categories,breakdown_reasons,header_breakdown_time,waste_pieces_logged,waste_materials,rejected_qty,reworked_qty,line_clearance_status,clearance_all_checks_passed,clearance_qa_latency_min,supervisor,labour_count,sap_sync_status,sap_doc_entry,warehouse_approval
214,2026-08-17,6 Head,4,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5.0,4,20,COMPLETED,COMPLETED,800.00,872.0,440.0,432.0,17440.0,600.0,600,yes,734,413,3,507.0,84.5,0,0,,,0,146.0,CAPS 5 LTR BROWN|CARTON 5 LTR 4 PCS|HDPE BOTTLE 5 LTR|LABEL 5 LTR KACHCHI GHANI BACK|LABEL 5 LTR KACHCHI GHANI FRONT,0.0,0.0,CLEARED,True,4.2,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
213,2026-08-17,Clear Pack,3,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1.0,20,20,COMPLETED,COMPLETED,1200.00,1231.0,640.0,591.0,24620.0,4800.0,4800,yes,731,409,3,3612.0,75.2,0,0,,,0,546.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR 20 PCS PET 40 GM|LABEL 1 LTR SUNFLOWER BACK|LABEL 1 LTR SUNFLOWER FRONT|PET BOTTLE 1 LTR 40 GMS,0.0,0.0,CLEARED,True,8.8,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
211,2026-08-17,JP Machine,1,FG0000030,MUSTARD KACHI GHANI 1 LTR 20 PCS,1.0,20,20,COMPLETED,COMPLETED,800.00,1154.0,505.0,649.0,23080.0,5400.0,5400,yes,754,431,3,3213.0,59.5,0,0,,,0,736.0,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN|CARTON 1 LTR 20 PCS PET 26GM|LABEL 1 LTR KACHCHI GHANI BACK|LABEL 1 LTR KACHCHI GHANI FRONT|PET BOTTLE 1 LTR 26 GM,0.0,0.0,CLEARED,True,13.5,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
216,2026-08-18,10 Head,1,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,900.00,1080.0,600.0,480.0,17280.0,2100.0,2100,yes,661,265,4,3912.0,186.3,0,0,,,0,1057.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR POMACE 16 PCS|LABEL 1 LTR GROUNDNUT BACK|LABEL 1 LTR GROUNDNUT FRONT|PET BOTTLE 1 LTR 52 GMS POMACE,0.0,0.0,CLEARED,True,184.5,,0,NOT_APPLICABLE,,PARTIALLY_APPROVED
220,2026-08-18,6 Head,5,FG0000011,MUSTARD KACCHI GHANI 5 LTR 4 PCS,5.0,4,20,COMPLETED,COMPLETED,800.00,901.0,0.0,901.0,18020.0,600.0,600,yes,687,0,1,,,0,0,,,0,512.0,CAPS 5 LTR BROWN|CARTON 5 LTR 4 PCS|HDPE BOTTLE 5 LTR|LABEL 5 LTR KACHCHI GHANI BACK|LABEL 5 LTR KACHCHI GHANI FRONT|SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,0.0,0.0,CLEARED,True,144.5,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
219,2026-08-18,Clear Pack,4,FG0000081,COLD PRESS SUNFLOWER 1 LTR 20 PCS,1.0,20,20,COMPLETED,COMPLETED,1200.00,1368.0,1120.0,248.0,27360.0,4800.0,4800,yes,598,260,4,6314.0,131.5,0,0,,,0,1620.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR 20 PCS PET 40 GM|LABEL 1 LTR SUNFLOWER BACK|LABEL 1 LTR SUNFLOWER FRONT|PET BOTTLE 1 LTR 40 GMS,0.0,0.0,CLEARED,True,148.9,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
217,2026-08-18,JP Machine,2,FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,,20,19.098,DRAFT,DRAFT,,0.0,0,0.0,0.0,5400.0,,yes,0,0,0,,,0,0,,,0,,,0.0,0.0,,,,Ravi,18,NOT_APPLICABLE,,NOT_REQUESTED
218,2026-08-18,JP Machine,3,FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,,20,19.098,COMPLETED,COMPLETED,1000.00,1052.0,795.0,257.0,20091.1,5400.0,,yes,600,261,4,4837.0,89.6,0,0,,,0,981.0,CAPS 1 LTR WHITE AND YELLOW SMALL PLAIN|CARTON 1 LTR 20 PCS PET 26GM|LABEL 869 GM CP MUSTARD OIL BACK|LABEL 869 GM CP MUSTARD OIL FRONT|PET BOTTLE 1 LTR 26 GM,0.0,0.0,CLEARED,True,175.4,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
222,2026-08-18,Tin Head,6,FG0000367,SANO POMACE OLIVE OIL 15 L,,1,15,COMPLETED,COMPLETED,1500.00,465.0,0.0,465.0,6975.0,50.0,,no,498,0,1,,,0,0,,,0,,,0.0,0.0,CLEARED,True,22.7,Ravi,15,NOT_APPLICABLE,,PARTIALLY_APPROVED
223,2026-08-18,Tin Head,7,FG0000015,REFINED OIL 15 LTR,15.0,1,15,COMPLETED,COMPLETED,500.00,694.0,0.0,694.0,10410.0,50.0,,no,194,0,1,,,0,0,,,0,,,0.0,0.0,CLEARED,True,5.1,Ravi,15,NOT_APPLICABLE,,PARTIALLY_APPROVED
224,2026-08-19,10 Head,1,FG0000142,COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,1.0,16,16,COMPLETED,COMPLETED,1000.00,965.0,625.0,340.0,15440.0,2100.0,2100,yes,582,182,4,5090.0,242.4,0,0,,,0,1252.0,CAPS 1 OR 2 LTR WHITE AND YELLOW WITH LOGO|CARTON 1 LTR POMACE 16 PCS|LABEL 1 LTR GROUNDNUT BACK|LABEL 1 LTR GROUNDNUT FRONT|PET BOTTLE 1 LTR 52 GMS POMACE,0.0,0.0,CLEARED,True,13.7,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
227,2026-08-19,6 Head,4,FG0000012,MUSTARD PAKKI GHANI 5 LTR 4 PCS,5.0,4,20,COMPLETED,COMPLETED,800.00,651.0,320.0,331.0,13020.0,600.0,600,yes,596,193,4,810.0,135.0,0,0,,,0,564.0,CAPS 5 LTR ORANGE|CARTON 5 LTR 4 PCS|HDPE BOTTLE 5 LTR|LABEL 5 LTR PAKKI GHANI BACK|LABEL 5 LTR PAKKI GHANI FRONT|SHRINKS 5 LTR 340X415 5 LTR SINGAL PCS,0.0,0.0,CLEARED,True,7.2,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
230,2026-08-19,6 Head,6,FG0000029,MUSTARD PAKKI GHANI 2 LTR 10 PCS,2.0,10,20,COMPLETED,COMPLETED,500.00,134.0,0.0,134.0,2680.0,720.0,720,yes,152,0,1,,,0,0,,,0,34.0,CAPS 1 & 2 LTR WHITE AND ORANGE WITH LOGO|LABEL 2 LTR PAKKI GHANI BACK|LABEL 2 LTR PAKKI GHANI FRONT|PET BOTTLE 2 LTR 66 GMS,0.0,0.0,CLEARED,True,6.8,Ravi,18,NOT_APPLICABLE,,PARTIALLY_APPROVED
