code,sku,plan_pieces,fg_onhand,wip,net_required,makeable_stock_only,makeable_with_po,binding_component,binding_component_name,root_binding_component,root_binding_component_name,shortfall_pieces,plan_litres_at_risk,plan_litres,litres_per_piece,makeable_litres_with_po,makeable_litres_stock_only,binding_stock_only,wip_stale_pieces,note
FG0000026,MUSTARD KACCHI GHANI 15 LTR,600,0,0,600,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,600,9000.0,9000.0,15.0,0.0,0.0,RM0000003,0,
FG0000074,EXTRA VIRGIN OLIVE 5 LTR TIN 4 PCS IMPORTED,2000,658,0,1342,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1342,6710.0,10000.0,5.0,0.0,0.0,RM0000001,0,
FG0000033,COLD PRESS 1 LTR + 1 LTR COMBO 10 SET ,15000,12001,0,2999,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,2999,5998.0,30000.0,2.0,0.0,0.0,RM0000002,0,
FG0000372,POMACE OLIVE 3 LTR TIN 6 PCS,2000,28,0,1972,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,1972,5916.0,6000.0,3.0,0.0,0.0,RM0000001,0,
FG0000013,REFINED OIL 1000 MLS,6000,87,0,5913,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,5913,5912.9,6000.0,1.0,0.0,0.0,RM0000002,0,
FG0000114,POMACE OLIVE 2 LTR 10 PCS HANDLE,4000,260,902,2838,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,2838,5676.0,8000.0,2.0,0.0,0.0,RM0000001,902,
FG0000016,REFINED OIL 2 LTR,3000,170,47,2783,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,2783,5566.0,6000.0,2.0,0.0,0.0,RM0000002,47,
FG0000020,REFINED OIL 5 LTR,1200,90,0,1110,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,1110,5552.5,6000.0,5.0,0.0,0.0,RM0000002,0,
FG0000328,SANO POMACE OLIVE 200 LTR 1 PCS,25,0,0,25,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,25,5000.0,5000.0,200.0,0.0,0.0,RM0000001,0,
FG0000452,SESAME OIL 500 MLS 12 PCS,10000,0,0,10000,0,0,HELD,held — SKU not ready,HELD,,10000,5000.0,5000.0,0.5,0.0,0.0,HELD,0,"HELD — SKU not ready, business hold not a material shortage"
FG0000440,FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,5000,0,0,5000,0,0,RM0000009,REFINED SUNFLOWER OIL,RM0000009,REFINED SUNFLOWER OIL,5000,5000.0,5000.0,1.0,0.0,0.0,RM0000009,0,
FG0000448,MUSTARD KACHI GHANI 500 ML 24 PCS,10000,0,0,10000,0,0,HELD,held — SKU not ready,HELD,,10000,5000.0,5000.0,0.5,0.0,0.0,HELD,0,"HELD — SKU not ready, business hold not a material shortage"
FG0000451,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,25000,0,0,25000,0,0,HELD,held — SKU not ready,HELD,,25000,5000.0,5000.0,0.2,0.0,0.0,HELD,0,"HELD — SKU not ready, business hold not a material shortage"
FG0000367,SANO POMACE OLIVE OIL 15 L,333,0,0,333,0,0,RM0000001,LOOSE REFINED OLIVE OIL,RM0000001,LOOSE REFINED OLIVE OIL,333,4995.0,5000.0,15.0,0.0,0.0,RM0000001,0,
FG0000443,FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,5000,95,0,4905,0,0,RM0000003,MUSTARD LOOSE OIL,RM0000003,MUSTARD LOOSE OIL,4905,4905.0,5000.0,1.0,0.0,0.0,RM0000003,0,
FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,2500,56,0,2444,0,0,RM0000002,CANOLA COLD PRESS LOOSE OIL OLD,RM0000016,CRUDE DEGUMMED RAPESEED OIL NEW,2444,4888.0,5000.0,2.0,0.0,0.0,RM0000002,0,
FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,10000,576,0,9424,0,0,RM0000011,GROUNDNUT LOOSE OIL,RM0000011,GROUNDNUT LOOSE OIL,9424,4712.0,5000.0,0.5,0.0,0.0,RM0000011,0,
