code,name,uom,onhand_aug01,onhand_now,net_moved_since,required_august,cover_pct
PM0000042,LABEL 2 LTR REFINED FRONT,PCS,5182.0,0.0,-5182.0,3000.0,172.73
PM0000041,LABEL 2 LTR REFINED BACK,PCS,5600.0,127.0,-5473.0,3000.0,186.67
PM0000122,TIKKI 100 MLS,PCS,0.0,2983.0,2983.0,3000.0,0.0
PM0000499,LABEL 1 LTR EXTRA VIRGIN FRONT ZANO,PCS,3150.0,3150.0,0.0,3000.0,105.0
PM0000500,LABEL 1 LTR EXTRA VIRGIN BACK ZANO,PCS,3150.0,3150.0,0.0,3000.0,105.0
PM0000498,PET BOTTLE 500 MLS 34 GMS GREEN,PCS,0.0,339.0,339.0,3000.0,0.0
PM0000421,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL FRONT,PCS,0.0,1261.0,1261.0,3000.0,0.0
PM0000422,LABEL 500 MLS EXTRA VIRGIN OLIVE OIL BACK,PCS,0.0,1261.0,1261.0,3000.0,0.0
PM0000245,CARTON 5 LTR 4 PCS PET,PCS,772.0,2486.21,1714.21,2807.14,27.5
PM0000266,LABEL 2 LTR CP CANOLA HANDLE BOTTLE FRONT,PCS,0.0,3700.0,3700.0,2500.0,0.0
PM0000265,LABEL 2 LTR CP CANOLA HANDLE BOTTLE BACK,PCS,0.0,3700.0,3700.0,2500.0,0.0
PM0000414,LABEL 200 MLS EXTRA VIRGIN COCONUT FRONT,PCS,0.0,0.0,0.0,2500.0,0.0
PM0000413,LABEL 200 MLS EXTRA VIRGIN COCONUT BACK,PCS,0.0,0.0,0.0,2500.0,0.0
PM0000593,TIN 15 KGS/LTR MULTI CP KACCHI GHANI MUSTARD OIL  PRINTED,PCS,92.0,1019.0,927.0,2123.0,4.33
PM0000270,LABEL 15 LTR COLD PRESS SUNFLOWER OIL,PCS,2117.0,3324.0,1207.0,2000.0,105.85
PM0000259,TIN 5 LTR EXTRA VIRGIN OLIVE PRINTED IMPORTED,PCS,38.0,18.0,-20.0,2000.0,1.9
PM0000830,TIN 3 LTR POMACE OLIVE PRINTED,PCS,1017.0,1015.0,-2.0,2000.0,50.85
PM0000846,LABEL 2 LTR CP MUSTARD OIL HENDLE BOTTLE FRONT LA RASOI,PCS,0.0,3905.0,3905.0,2000.0,0.0
PM0000843,LABEL 2 LTR CP MUSTARD OIL HANDLE BOTTLE BACK LA RASOI,PCS,0.0,3983.0,3983.0,2000.0,0.0
PM0000150,GLASS BOTTLE 500 MLS,PCS,0.0,435.0,435.0,2000.0,0.0
PM0000816,LABEL 500 ML PURE TOASTED SESAME OIL FRONT,PCS,5000.0,5038.0,38.0,2000.0,250.0
