date,warehouse,sap_onhand_l,invoiced_not_dispatched_l,at_gate_l,physical_l,ceiling_l,free_l,pct_full,invoiced_not_dispatched_intercompany_l,physical_incl_intercompany_l,stale_open_bills_l,basis
2025-03-11,BH-FG (overflow / secondary),561944,,0,561944,,,,,561944,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-11,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-12,BH-PF,85072,0,0,85072,377000,291928,22.6,0,85072,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-12,OIL-FG-TOTAL (BH-BT+BH-PF),85072,0,0,85072,377000,291928,22.6,0,85072,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-12,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-12,BH-FG (overflow / secondary),514027,,0,514027,,,,,514027,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-12,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-13,BH-PF,64718,0,0,64718,377000,312282,17.2,0,64718,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-13,OIL-FG-TOTAL (BH-BT+BH-PF),64718,0,0,64718,377000,312282,17.2,0,64718,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-13,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-13,BH-FG (overflow / secondary),548021,,0,548021,,,,,548021,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-13,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-14,BH-PF,64718,0,0,64718,377000,312282,17.2,0,64718,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-14,OIL-FG-TOTAL (BH-BT+BH-PF),64718,0,0,64718,377000,312282,17.2,0,64718,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-14,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-14,BH-FG (overflow / secondary),548021,,0,548021,,,,,548021,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-14,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-15,BH-PF,90147,0,0,90147,377000,286853,23.9,0,90147,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-15,OIL-FG-TOTAL (BH-BT+BH-PF),90147,0,0,90147,377000,286853,23.9,0,90147,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-15,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-15,BH-FG (overflow / secondary),550188,,0,550188,,,,,550188,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-15,BH-SC (overflow / secondary),530,,0,530,,,,,530,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-16,BH-PF,90147,0,0,90147,377000,286853,23.9,0,90147,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-16,OIL-FG-TOTAL (BH-BT+BH-PF),90147,0,0,90147,377000,286853,23.9,0,90147,0,SAP OnHand ONLY — no physical dispatch record exists this far back
2025-03-16,GP-FG (overflow / secondary),0,,0,0,,,,,0,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
2025-03-16,BH-FG (overflow / secondary),550188,,0,550188,,,,,550188,,SAP OnHand only — no ceiling on file for this godown; no dispatch-lag correction applied
