code,name,kind,uom,need,onhand,onorder,short_vs_stock,short_net,fastest_days,fastest_vendor,slowest_days,slowest_vendor
RM0000006,DESI GHEE,GHEE,PCS,41.30,6656.85,23375.00,-6615.55,-29990.56,58.4,SPEAR AGRO INDUSTRIES PRIVATE LIMITED,58.4,SPEAR AGRO INDUSTRIES PRIVATE LIMITED
PM0000626,PET JAR DESI GHEE 1000 MLS (70 GMS),PET JAR,PCS,41.30,9441.00,0.00,-9399.70,-9399.70,93.5,ECHO PLAST INDIA,93.5,ECHO PLAST INDIA
PM0000434,LABEL DESI GHEE 1000 LTR (JIVO),LABEL,PCS,41.30,22052.00,500.00,-22010.70,-22510.70,,,,
PM0000876,TIKKI BARCODE CSD EXTRA LIGHT 1 LTR,LABEL,PCS,40.60,4869.00,0.00,-4828.40,-4828.40,2.3,MEDIA GRAPHIC PRINTS VEND,7.0,GRAPHICS ELITE
PM0000874,TIKKI BARCODE CSD 1 LTR EV,LABEL,PCS,32.20,5266.00,0.00,-5233.80,-5233.80,2.0,MEDIA GRAPHIC PRINTS VEND,7.0,GRAPHICS ELITE
PM0000589,CARTON PET BOTTLE 100 ML 20 PCS,CARTON,PCS,28.60,848.20,800.00,-819.60,-1619.60,2.0,PACKSTER PACKAGING SOLUTIONS,4.0,CVS PACKAGING PRIVATE LIMITED
PM0000029,LABEL 15 LTR COLD PRESS KACHCHI GHANI,LABEL,PCS,22.40,8546.00,0.00,-8523.60,-8523.60,5.0,PACKGEN INTERNATIONAL PVT LTD,8.0,MEDIA GRAPHIC PRINTS VEND
PM0000341,POUCH 1 LTR SOYABEAN ROLLS KGS,POUCH,KGS,20.22,72.58,577.35,-52.36,-629.71,,,,
PM0000588,CARTON PET BOTTLE 100 ML 10 PCS,CARTON,PCS,19.30,572.20,1400.00,-552.90,-1952.90,2.0,PACKSTER PACKAGING SOLUTIONS,3.0,CVS PACKAGING PRIVATE LIMITED
PM0000875,TIKKI BARCODE CSD 500 ML EV,LABEL,PCS,17.00,8306.00,0.00,-8289.00,-8289.00,2.3,MEDIA GRAPHIC PRINTS VEND,7.0,GRAPHICS ELITE
PM0000873,TIKKI BARCODE CSD 1 LTR POMACE,LABEL,PCS,16.00,2255.00,0.00,-2239.00,-2239.00,2.3,MEDIA GRAPHIC PRINTS VEND,7.0,GRAPHICS ELITE
PM0000887,LABEL 200 LTR POMACE SANO,LABEL,PCS,12.25,51.00,0.00,-38.75,-38.75,2.0,MEDIA GRAPHIC PRINTS VEND,21.0,PACKGEN INTERNATIONAL PVT LTD
PM0000227,LABEL 4 LTR COLD PRESS FRONT,LABEL,PCS,10.85,69677.00,5000.00,-69666.15,-74666.15,9.8,ROYAL PRIME LABELS,9.8,ROYAL PRIME LABELS
PM0000687,LABEL 100 GMS COFFEE,LABEL,PCS,10.50,319.00,0.00,-308.50,-308.50,,,,
PM0000338,CAP COFFEE JAR 63 MM,CAPS,PCS,10.50,1088.00,0.00,-1077.50,-1077.50,,,,
PM0000684,GLASS JAR COFFEE 100 GMS,GLASS BOTTLES,PCS,10.50,437.00,500.00,-426.50,-926.50,,,,
PM0000357,HDPE BOTTLE 5 LTR DARK GREEN,HDPE BOTTLES,PCS,8.75,914.00,0.00,-905.25,-905.25,44.0,RAJ TECHNOPACK PVT LTD,44.0,RAJ TECHNOPACK PVT LTD
PM0000672,SHRINK ROLL POF GM,SHRINK,MTR,8.17,1473.07,40147.50,-1464.90,-41612.40,-2.3,JOY PACK INDIA PVT LTD,26.0,VIBGYOR INTERNATIONAL PVT.LTD (AAACV0110H)
PM0000346,LABEL 15 LTR SOYBEAN OIL,LABEL,PCS,7.70,5182.00,0.00,-5174.30,-5174.30,48.0,ZENBI INTERNATIONAL PRIVATE LIMITED,48.0,ZENBI INTERNATIONAL PRIVATE LIMITED
PM0000536,TIN 13 KG,TIN,PCS,4.90,3094.00,3557.00,-3089.10,-6646.10,,,,
RM0000047,LOOSE RICE KGS,RICE,PCS,2.80,12398.00,0.00,-12395.20,-12395.20,0.0,STOCK GOODS RECEIPTS,0.0,STOCK GOODS RECEIPTS
PM0000269,POUCH RICE 1 KGS PCS,POUCH,PCS,2.80,10838.00,0.00,-10835.20,-10835.20,0.0,STOCK GOODS RECEIPTS,0.0,STOCK GOODS RECEIPTS
PM0000285,CARTON 500 MLS DESI GHEE 16 PCS,CARTON,PCS,2.58,2430.32,0.00,-2427.73,-2427.73,4.0,CVS PACKAGING PRIVATE LIMITED,4.0,CVS PACKAGING PRIVATE LIMITED
PM0000033,LABEL 2 LTR COLD PRESS FRONT,LABEL,PCS,2.10,10.00,0.00,-7.90,-7.90,,,,
PM0000032,LABEL 2 LTR COLD PRESS BACK,LABEL,PCS,2.10,10.00,0.00,-7.90,-7.90,,,,
PM0000336,INSTANT COFFEE AGGLO,COFFEE,KGS,1.05,201.80,0.00,-200.75,-200.75,,,,
PM0000240,CARTON 1 KGS RICE 4 PCS CSD,CARTON,PCS,0.70,43.50,0.00,-42.80,-42.80,0.0,STOCK GOODS RECEIPTS,0.0,STOCK GOODS RECEIPTS
PM0000655,CARTON COFFEE JAR 100 GMS 15 PCS,CARTON,PCS,0.70,2.12,0.00,-1.42,-1.42,,,,
PM0000430,LABEL 15 LTR REFINED COTTON SEED,LABEL,PCS,0.70,11201.00,0.00,-11200.30,-11200.30,4.5,PACKGEN INTERNATIONAL PVT LTD,4.5,PACKGEN INTERNATIONAL PVT LTD
SF0000005,JIVO HONEY 500 GMS,HONEY,GMS,0.70,1.00,0.00,-0.30,-0.30,3.0,BEE HIVE FARMS PVT LTD,3.0,BEE HIVE FARMS PVT LTD
PM0000807,LABEL 500 GRM HONEY FRONT,LABEL,PCS,0.70,309.00,260.00,-308.30,-568.30,3.3,MEDIA GRAPHIC PRINTS VEND,3.3,MEDIA GRAPHIC PRINTS VEND
PM0000808,LABEL 500 GRM HONEY BACK,LABEL,PCS,0.70,309.00,150.00,-308.30,-458.30,3.3,MEDIA GRAPHIC PRINTS VEND,3.3,MEDIA GRAPHIC PRINTS VEND
PM0000463,CUMIN SEEDS JEERA,SPICES,KGS,0.04,0.00,600.00,0.04,-599.97,,,,
PM0000822,POUCH SPICES CUMIN SEEDS 100 GMS ROLL KGS,POUCH,KGS,0.00,306.90,0.00,-306.90,-306.90,18.0,MULTILAYER INDUSTRIES,18.0,MULTILAYER INDUSTRIES
