code,name,kind,uom,need,on_hand,on_order,cover_pct,short,at_zero,skus_blocked,litres_at_risk,value_at_risk,lead_days,first_short_day,order_by,order_basis,status,skus
PM0000075,TAPE LOGO PRINTED,PACK,MTR,212275,556958,200000,356.6,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS;COLD PRESS 1 LTR 20 PCS (NIRMA;COLD PRESS 2 LTR 10 PCS HANDLE;COLD PRESS 3 LTR 6 PCS;COLD PRES
PM0000077,TIN 5 LTR EXTRA LIGHT OLIVE PRINTED,PACK,PCS,4600,3323,10000,289.6,0,,0,0,0,6,,,,covered,EXTRA LIGHT OLIVE 5 LTR TIN 4 
PM0000078,CAPS 5 LTR/15 LTR,PACK,PCS,88196,50353,111600,183.6,0,,0,0,0,6,,,,covered,COLD PRESS SUNFLOWER OIL 15 LT;EXTRA LIGHT OLIVE 3 LTR TIN 6 ;EXTRA LIGHT OLIVE 5 LTR TIN 4 ;MUSTARD KACCHI GHANI 15 LTR;MUSTARD KACHI GHANI 15 KGS(PRI;POMACE OLIVE 3 LTR TIN 6 PCS
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,PACK,PCS,423000,211840,400000,144.6,0,,0,0,0,6,,,,covered,COLD PRESS 1 LTR + 1 LTR COMBO;COLD PRESS 1 LTR +1 LTR COMBO ;COLD PRESS 1 LTR 20 PCS;COLD PRESS 1 LTR 20 PCS (NIRMA;COLD PRESS 500 MLS 24 PCS;EXTRA VIRGIN OLIVE 1 LTR 16 PC;FIRST 
PM0000107,LABEL 1 LTR POMACE BACK,PACK,PCS,160000,119761,150000,168.6,0,,0,0,0,6,,,,covered,POMACE OLIVE 1 LTR 16 PCS
PM0000108,LABEL 1 LTR POMACE FRONT,PACK,PCS,160000,125168,150000,172.0,0,,0,0,0,6,,,,covered,POMACE OLIVE 1 LTR 16 PCS
PM0000113,HDPE BOTTLE 3 LTR,PACK,PCS,6667,10605,25100,535.5,0,,0,0,0,6,,,,covered,COLD PRESS 3 LTR 6 PCS
PM0000117,LABEL 3 LTR COLD PRESS BACK,PACK,PCS,6667,9442,0,141.6,0,,0,0,0,6,,,,covered,COLD PRESS 3 LTR 6 PCS
PM0000125,PET BOTTLE 500 MLS 34 GMS,PACK,PCS,22000,69211,112160,824.4,0,,0,0,0,6,,,,covered,COLD PRESS 500 MLS 24 PCS;COLD PRESS GROUNDNUT 500 MLS 2;EXTRA LIGHT OLIVE 500 MLS 24 P;EXTRA VIRGIN COCONUT OIL 500 M
PM0000128,CARTON 500 MLS 24 PCS,PACK,PCS,917,5534,0,603.7,0,,0,0,0,6,,,,covered,COLD PRESS 500 MLS 24 PCS;COLD PRESS GROUNDNUT 500 MLS 2;EXTRA LIGHT OLIVE 500 MLS 24 P;EXTRA VIRGIN COCONUT OIL 500 M
PM0000130,POUCH REFINED MULTI ROLLS KGS,PACK,KGS,92,980,0,999.9,0,,0,0,0,6,,,,covered,REFINED OIL 1 LTR POUCH 12 PCS
PM0000150,GLASS BOTTLE 500 MLS,PACK,PCS,2000,9115,0,455.8,0,,0,0,0,6,,,,covered,SESAME OIL (TOASTED) 500 MLS 1
PM0000153,CARTON 500 MLS EXTRA VIRGIN 12 PCS,PACK,PCS,167,1836,0,999.9,0,,0,0,0,6,,,,covered,SESAME OIL (TOASTED) 500 MLS 1
PM0000158,LABEL 1 LTR EXTRA VIRGIN FRONT,PACK,PCS,22000,6812,30000,167.3,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 1 LTR 16 PC
PM0000159,LABEL 1 LTR EXTRA VIRGIN BACK,PACK,PCS,22000,8086,30000,173.1,0,,0,0,0,6,,,,covered,EXTRA VIRGIN OLIVE 1 LTR 16 PC
PM0000182,CARTON 3 LTR 6 PCS,PACK,PCS,1111,1058,8070,821.5,0,,0,0,0,6,,,,covered,COLD PRESS 3 LTR 6 PCS
