item,litres,value,realise,u_type,sub_group,sku
FG0000383 — REFINED OIL 13 KG,21728.53,4128384.53,189.9983353682923,PREMIUM,CANOLA,13 KGS
FG0000408 — COLD PRESS 1 LTR (NIRMAL RISHI ) 24 PCS,6506.0,1222531.6,187.90833077159547,PREMIUM,CANOLA,1 LTR
FG0000070 — COLD PRESS 2 LTR 10 PCS HANDLE,10656.0,1980721.02,185.8784740990991,PREMIUM,CANOLA,2 LTR
FG0000033 — COLD PRESS 1 LTR + 1 LTR COMBO 10 SET,64186.0,11581774.839999998,180.440825725236,PREMIUM,CANOLA,1 LTR
FG0000015 — REFINED OIL 15 LTR,92985.0,16337735.48,175.7029142334785,PREMIUM,CANOLA,15 LTR
FG0000443 — FIRST PRESSED MUSTARD OIL 1 LTR 20 PCS,5006.0,851021.43,170.00028565721135,COMMODITY,MUSTARD,1 LTR
FG0000441 — COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,11599.0,1971830.0,170.0,PREMIUM,GROUNDNUT,200 MLS
FG0000035 — COLD PRESS 500 MLS 24 PCS,6000.0,1020000.0,170.0,PREMIUM,CANOLA,500 MLS
FG0000409 — COLD PRESS GROUNDNUT OIL 200 MLS 70 PCS,16017.0,2722890.0,170.0,PREMIUM,GROUNDNUT,200 MLS
FG0000373 — EXTRA VIRGIN CANOLA OIL 3 LTR TIN 3 PCS,3456.0,587520.0,170.0,PREMIUM,CANOLA,3 LTR
FG0000419 — COLD PRESS GROUNDNUT OIL 2 LTR 10 PCS HANDLE,5140.0,873800.0,170.0,PREMIUM,GROUNDNUT,2 LTR
FG0000088 — COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,27896.0,4742320.0,170.0,PREMIUM,CANOLA,1 LTR
FG0000454 — COLD PRESS GROUNDNUT 500 MLS 24 PCS,4800.0,816000.0,170.0,PREMIUM,GROUNDNUT,500 MLS
FG0000440 — FIRST PRESSED SUNFLOWER OIL 1 LTR 20 PCS,5201.0,884166.67,169.99935973851183,COMMODITY,SUNFLOWER,1 LTR
FG0000232 — SO OLIVE OIL 5 LTR 4 PCS,6805.0,1156435.4699999997,169.93908449669357,PREMIUM,BLENDED,5 LTR
FG0000228 — SO OLIVE OIL 1 LTR 16 PCS,8063.0,1368375.0,169.71040555624458,PREMIUM,BLENDED,1 LTR
FG0000021 — REFINED OIL 1 LTR POUCH 12 PCS,1169.0,198309.5,169.64029084687766,PREMIUM,CANOLA,1 LTR
FG0000143 — COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS,195050.0,33062154.770000003,169.50604855165344,PREMIUM,GROUNDNUT,5 LTR
FG0000142 — COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS,489366.0,82581680.4,168.7523865573007,PREMIUM,GROUNDNUT,1 LTR
FG0000054 — COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS,40.0,6705.1900000000005,167.62975,PREMIUM,CANOLA,4 LTR
FG0000306 — YELLOW MUSTARD OIL 1 LTR 20 PCS,45955.0,7695873.670000001,167.4654263953868,PREMIUM,MUSTARD,1 LTR
FG0000130 — COLD PRESS SUNFLOWER 200 LTR 1 PCS,3000.0,498571.42,166.19047333333333,COMMODITY,SUNFLOWER,200 LTR
FG0000149 — JIVO GOLD 1 LTR 20 PCS,1176.0,188976.30999999997,160.69414115646256,COMMODITY,BLENDED,1 LTR
RM0000002 — CANOLA COLD PRESS LOOSE OIL OLD,8177.0,1309757.95,160.17585300232358,,CANOLA,
FG0000374 — YELLOW MUSTARD OIL 5 LTR TIN 4 PCS,19895.0,3161528.18,158.91069012314654,PREMIUM,MUSTARD,5 LTR
FG0000194 — SOYABEAN OIL 1 LTR POUCH 12 PCS,88015.0,13870438.889999999,157.59176151792306,COMMODITY,SOYABEAN,1 LTR
FG0000004 — COLD PRESS 5 LTR 4 PCS,348170.0,54370114.21,156.15967547462446,PREMIUM,CANOLA,5 LTR
FG0000417 — COLD PRESS SUNFLOWER 5LTR 5 PCS,18825.0,2934398.65,155.87775033200532,COMMODITY,SUNFLOWER,5 LTR
FG0000407 — COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS,141776.0,21861084.270000003,154.19453412425236,PREMIUM,CANOLA,1 LTR
FG0000081 — COLD PRESS SUNFLOWER 1 LTR 20 PCS,262726.0,40185135.50999999,152.9545439355069,COMMODITY,SUNFLOWER,1 LTR
FG0000423 — COLD PRESS SUNFLOWER 1 LTR 24 PCS,81008.0,12386457.060000002,152.904121321351,COMMODITY,SUNFLOWER,1 LTR
FG0000106 — MUSTARD KACHHI GHANI 1 LTR POUCH 12 PCS,46720.0,7141504.740000001,152.85755008561645,COMMODITY,MUSTARD,1 LTR
FG0000379 — MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE,259202.0,39385288.45,151.9482428762124,COMMODITY,MUSTARD,1 LTR
FG0000011 — MUSTARD KACCHI GHANI 5 LTR 4 PCS,277880.0,42017459.000000045,151.20720814740193,COMMODITY,MUSTARD,5 LTR
FG0000226 — RICE BRAN OIL 5 LTR 4 PCS,65595.0,9907329.469999997,151.03787590517564,COMMODITY,RICE BRAN,5 LTR
FG0000299 — SOYABEAN OIL 700 GMS POUCH 12 PCS,176293.74,26624520.799999997,151.02363135525968,COMMODITY,SOYABEAN,700 GMS
