row,code,brand,head,category,sub,sku,per_ltrs,pack_type,ltrs_box,case_pack,total_pcs,gt_mt_roi_t,ecom_t,total_t
75,FG0000449,JIVO,COMMODITY,MUSTARD, MUSTARD,MUSTARD KACHI GHANI 200 ML 35 PCS,200 ML,PET,#VALUE!,35,25000.0,0.0,5.0,5.0
76,FG0000448,JIVO,COMMODITY,MUSTARD, MUSTARD,MUSTARD KACHI GHANI 500 ML 24 PCS,500ML,PET,#VALUE!,24,10000.0,0.0,5.0,5.0
77,FG0000451,JIVO,COMMODITY,SUNFLOWER,JIVO SUNFLOWER,COLD PRESS SUNFLOWER OIL 200 ML 35 PCS,200 ML,PET,#VALUE!,35,25000.0,0.0,5.0,5.0
78,FG0000454,JIVO,PREMIUM,GROUNDNUT,JIVO GROUNDNUT,COLD PRESS GROUNDNUT 500 MLS 24 PCS,500ML,PET,#VALUE!,24,10000.0,0.0,5.0,5.0
79,FG0000363,LA RASOI,COMMODITY,MUSTARD,LA RASOI MUSTARD,LA RASOI COLD PRESSED MUSTARD KACHI GHANI OIL 2 LTR 10 PCS HANDLE,2,PET,20,10,2000.0,4.0,0.0,4.0
80,FG0000370,JIVO,PREMIUM,EXTRA LIGHT,EXTRA LIGHT,EXTRA LIGHT OLIVE 3 LTR TIN 6 PCS,3,TIN,18,6,1000.0,0.0,3.0,3.0
81,FG0000187,ZANO,PREMIUM,EXTRA VIRGIN,ZANO EXTRA VIRGIN,ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS,1,PET 52 GRAM,16,16,3000.0,3.0,0.0,3.0
82,FG0000067,JIVO,COMMODITY,MUSTARD,JIVO MUSTARD,MUSTARD KACCHI GHANI 3 LTR 6 PCS,3,3 LTR JAR,18,6,1000.0,3.0,0.0,3.0
83,FG0000155,JIVO,PREMIUM,EXTRA VIRGIN,EXTRA VIRGIN,EXTRA VIRGIN 2 LTR 10 PCS HANDLE,2,PET,20,10,1000.0,0.0,2.0,2.0
84,FG0000137,SANO,COMMODITY,MUSTARD,SANO MUSTARD,SANO MUSTARD OIL 5 LTR 4 PCS,5,5 LTR JAR,20,4,400.0,2.0,0.0,2.0
85,FG0000395,JIVO ,PREMIUM,CSD,EXTRA VIRGIN,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),1,PET 52 GRAM,16,16,2000.0,2.0,0.0,2.0
86,FG0000105,JIVO,PREMIUM,CSD,EXTRA LIGHT,EXTRA LIGHT OLIVE 250 MLS 4 PCS,1,PET 52 GRAM,1,4,1000.0,1.0,0.0,1.0
87,FG0000104,JIVO,PREMIUM,CSD,EXTRA LIGHT,EXTRA LIGHT OLIVE 100 MLS 10 PCS,1,PET 52 GRAM,1,10,1000.0,1.0,0.0,1.0
88,FG0000352,JIVO,PREMIUM,SESAME,SESAME,SESAME OIL (TOASTED) 500 MLS 12 PCS,500ML,PET,#VALUE!,12,2000.0,1.0,0.0,1.0
89,FG0000398,JIVO ,PREMIUM,CSD,EXTRA LIGHT,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),1,PET 52 GRAM,16,16,1000.0,1.0,0.0,1.0
90,FG0000396,JIVO ,PREMIUM,CSD,EXTRA VIRGIN,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),1,PET 52 GRAM,16,16,1000.0,1.0,0.0,1.0
91,FG0000006,JIVO,PREMIUM,POMACE,POMACE,POMACE OLIVE 200 LTR 1 PCS,200KG DRUM,DRUM,#VALUE!,1,500.0,1.0,0.0,1.0
