item,item_code,qty,uom,supplier,region,contract_ref,contract_date,delivery_by,delivered,pending,rate,value_inr,status
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-197|PO-126226645,2026-01-23,2026-01-24,41.5100,0.4900,274000.00,11508000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-193|PO-126226618,2026-01-22,2026-01-22,42.0300,0.0000,275000.00,11550000.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,40.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-196|PO-126226592,2026-01-22,2026-01-23,38.9500,1.0500,129750.00,5190000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,41.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-190|PO-126226596,2026-01-19,2026-01-19,40.6100,0.3900,250000.00,10250000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,35.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-191|PO-126226565,2026-01-18,2026-01-20,39.1800,0.0000,150000.00,5250000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-192|PO-126226509,2026-01-18,2026-01-21,40.3600,0.0000,124000.00,4960000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,25.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-189|PO-126226591,2026-01-17,2026-01-18,24.4900,0.5100,134286.00,3357150.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-188|PO-126226576,2026-01-13,2026-01-16,39.5200,0.4800,125200.00,5008000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-187|PO-126226557,2026-01-12,2026-01-14,40.6100,2.3900,125200.00,5383600.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-186|PO-1225226647,2026-01-08,2026-01-13,41.9300,1.0700,123500.00,5310500.00,dc/RECEIVED
SEASAME OIL,RM0000054,5.0000,MT,TIRUPATI AGRO INDUSTRIES,Rajasthan (RJ),DC-185|PO-126226511,2026-01-08,2026-01-08,5.0000,0.0000,188800.00,944000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-184|PO-126226529,2026-01-07,2026-01-08,42.6000,0.0000,300000.00,12600000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-183|PO-1225226676,2026-01-03,2016-01-05,41.8800,0.1200,123500.00,5187000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-5|PO-1225226602,2025-12-31,0026-01-03,41.7300,1.2700,123100.00,5293300.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,MAHA MAYA FOOD PRODUCTS PRIVATE LIMITED,Haryana (HR),DC-176|PO-1225226669,2025-12-29,2026-01-01,41.4300,0.5700,250000.00,10500000.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,40.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-179|PO-1225226671,2025-12-29,2026-01-01,39.5800,0.4200,150000.00,6000000.00,dc/RECEIVED
CANOLA COLD PRESS LOOSE OIL OLD,RM0000002,43.0000,MT,AL GHURAIR RESOURCES OILS & PROTIENS L L C,AE (foreign-registered vendor),DC-180|PO-VARPL/2526/4615,2025-12-26,2026-01-01,42.5300,0.4700,140000.00,6020000.00,dc/RECEIVED|foreign-registered-vendor
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-175|PO-1225226640,2025-12-25,2025-12-30,41.9800,1.0200,123099.99,5293299.57,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,40.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-174|PO-1225226622,2025-12-24,2025-12-30,39.8200,0.1800,140000.00,5600000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-173|PO-1225226577,2025-12-24,2025-12-27,41.7600,0.2400,123500.00,5187000.00,dc/RECEIVED
MUSTARD LOOSE OIL,RM0000003,35.0000,MT,AWL AGRI BUSINESS LIMITED,Gujarat (GJ),DC-177|PO-1225226584,2025-12-24,2026-01-01,34.7600,0.2400,148000.00,5180000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,43.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-171|PO-1225226551,2025-12-16,2025-12-24,42.7700,0.2300,123700.00,5319100.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-168|PO-1225226525,2025-12-16,2025-12-19,41.6700,0.3300,123500.00,5187000.00,dc/RECEIVED
RICE BRAN REFINED OIL,RM0000007,42.0000,MT,MODI OIL TRADERS,Punjab (PB),DC-167|PO-1225226582,2025-12-16,2025-12-19,41.9100,0.0900,124000.00,5208000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,42.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-169|PO-1225226588,2025-12-12,2025-12-20,41.3200,0.6800,286000.00,12012000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-172|PO-1225226635,2025-12-11,2025-12-25,42.2800,0.7200,250000.00,10750000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,36.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-170|PO-1225226615,2025-12-11,2025-12-24,34.9400,1.0600,250000.00,9000000.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-166|PO-1225226566,2025-12-09,2025-12-17,41.5500,1.4500,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,BD EDIBLE OILS PVT LTD,Rajasthan (RJ),DC-165|PO-1225226518,2025-12-09,2025-12-13,41.6900,0.3100,123700.00,5195400.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,VEE KAY ENTERPRISES,Delhi (DL),DC-194|PO-1225226538,2025-12-08,2025-12-11,41.9600,1.0400,250000.00,10750000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,42.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-164|PO-1225226511,2025-12-07,2025-12-11,41.7300,0.2700,123100.00,5170200.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,35.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-162|PO-1125226594,2025-12-06,2025-12-08,34.4500,0.5500,121500.00,4252500.00,dc/RECEIVED
LOOSE REFINED OLIVE OIL,RM0000001,43.0000,MT,NURTURING FOODS LLP,Delhi (DL),DC-163|PO-1225226533,2025-12-03,2025-12-10,42.1100,0.8900,286000.00,12298000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,40.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-257|PO-1125226582,2025-11-30,2025-12-05,39.4700,0.5300,121500.00,4860000.00,dc/RECEIVED
SOYABEAN REFINED LOOSE OIL,RM0000025,29.0000,MT,DIL EXIM COMMODITIES PRIVATE LIMITED,Gujarat (GJ),DC-158|PO-1125226582,2025-11-26,2025-11-29,28.5700,0.4300,121500.00,3523500.00,dc/RECEIVED
GROUNDNUT LOOSE OIL,RM0000011,42.0000,MT,DHANLAXMI EDIBLES PRIVATE LIMITED,Gujarat (GJ),DC-157|PO-1125226584,2025-11-24,2025-11-28,41.0100,0.9900,142000.00,5964000.00,dc/RECEIVED
