code,name,kind,open_qty_aug01,uom,vendor,ordered_on,due_on,at_gate_qty,lead_median_d,lead_p90_d,orders_sampled,typical_order_qty,row_type,credibility,po_num,po_age_days_at_aug01,lead_median_full_d,lead_source,min_order_qty_seen,canonical_code,warehouse,note
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,197675.63,LTR,AWL AGRI BUSINESS LIMITED,2026-07-10,2026-07-10,0,13,22,137,45505.4,OPEN_PO,LIVE,220726068,22,13,ITEM,656.04,RM0000025,BH-GJ,
PM0000194,PET BOTTLE 1 LTR 40 GMS,BOTTLE,175080.0,PCS,BR AGROTECH LTD,2026-01-17,2026-01-17,0,4,36,21,100000.0,OPEN_PO,STALE_DEAD,126226582,196,9,ITEM,5200.0,PM0000194,BH-PM,
PM0000075,TAPE LOGO PRINTED,TAPE,166400.0,MTR,BAKSHI PLASTIC BHANDAR,2025-04-01,2025-04-01,0,5,11,9,246750.0,OPEN_PO,STALE_DEAD,425226502,487,5,ITEM,108240.0,PM0000075,BH-PM,
RM0000025,SOYABEAN REFINED LOOSE OIL,OIL,164835.0,LTR,PALAK ENTERPRISES,2024-10-25,2024-10-25,0,13,22,137,45505.4,OPEN_PO,STALE_DEAD,1024226651,645,13,ITEM,656.04,RM0000025,BH-GJ,
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,CONSUMABLE,158000.0,NULL,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-07-03,2026-10-15,0,6,18,7,4500.0,OPEN_PO,LIVE,220726007,29,6,ITEM,1.0,CF0000036,BH-FA,
CF0000036,PEB SHED CANOLA NEW LAND 2 ACRE,CONSUMABLE,158000.0,NULL,WILLUS INFRASTRUCTURE PRIVATE LIMITED,2026-07-03,2026-10-15,0,6,18,7,4500.0,OPEN_PO,LIVE,220726007,29,6,ITEM,1.0,CF0000036,BH-FA,
PM0000079,CAPS 1 & 2 LTR FULL GREEN WITH LOGO,CAP,156000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2025-12-18,2025-12-18,0,9.5,25,12,150000.0,OPEN_PO,STALE_DEAD,1225226592,226,21.0,ITEM,53000.0,PM0000079,BH-PM,
PM0000054,PET BOTTLE 1 LTR 26 GMS,BOTTLE,150000.0,PCS,PIONEER PET SWASTIC PET INDUSTRIES (ACSFS8137Q),2024-10-09,2024-10-09,0,6,33,7,100000.0,OPEN_PO,STALE_DEAD,1024226541,661,51,ITEM,3780.0,PM0000054,BH-PM,
PM0000015,LABEL 1 LTR COLD PRESS FRONT,LABEL,150000.0,PCS,PINNACLE TRAXIM PVT LTD,2024-11-11,2024-11-11,0,10.5,17,8,127500.0,OPEN_PO,STALE_DEAD,1124226538,628,10.5,ITEM,100000.0,PM0000015,BH-PM,
PM0000014,LABEL 1 LTR COLD PRESS BACK 8181,LABEL,150000.0,PCS,PINNACLE TRAXIM PVT LTD,2024-11-11,2024-11-11,0,8.5,22,12,102000.0,OPEN_PO,STALE_DEAD,1124226538,628,8.5,ITEM,50000.0,PM0000014,BH-PM,
