item_code,item_name,pack_litres,orders,total_completed,median_units_per_day,p90_units_per_day,resource_codes,_process,_uom,_otype,_days,_pack_src,_category,_variety,_median_litres_per_day
FG0000300,SOYABEAN OIL 770 GMS POUCH 12 PCS,0.846,1,39.0,39.0,39.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,SOYABEAN,33.0
FB0000018,POMACE OLIVE 1 LTR 16 PCS,1,1,16.0,16.0,16.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,name: ltr in name,PREMIUM,OLIVE,16.0
FG0000130,COLD PRESS SUNFLOWER 200 LTR 1 PCS,200,1,15.0,15.0,15.0,JWPL09240002,FILLING,PCS,S,1,SAP resource BaseQty,COMMODITY,SUNFLOWER,3000.0
FG0000006,POMACE OLIVE 200 LTR 1 PCS,200.44,1,5.0,5.0,5.0,JWPL09240001,FILLING,DRM,S,1,SAP resource BaseQty,PREMIUM,OLIVE,1002.2
FG0000118,CANOLA OIL 5 LTR 4 PCS,5,1,4.0,4.0,4.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,CANOLA,20.0
FB0000019,POMACE OLIVE 5 LTR TIN 4 PCS,5,1,4.0,4.0,4.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,name: ltr in name,PREMIUM,OLIVE,20.0
FG0000186,BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS,5,1,4.0,4.0,4.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,BLENDED,20.0
FG0000372,POMACE OLIVE 3 LTR TIN 2 PCS,3.03,1,4.0,4.0,4.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,12.1
FG0000344,JIVO PREMIUM OIL GIFT BOX,,1,2.0,2.0,2.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,unparsed,PREMIUM,GIFT PACK,2.0
FB0000014,EXTRA VIRGIN OLIVE 1 LTR 16 PCS,1,1,2.0,2.0,2.0,,FILLING_NO_RESOURCE_LINE,PCS,S,1,name: ltr in name,PREMIUM,OLIVE,2.0
FG0000447,EXTRA LIGHT OLIVE 15 LTR,15,1,2.0,2.0,2.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,30.0
FG0000045,POMACE OLIVE 500 MLS 24 PCS,0.5033,1,1.0,1.0,1.0,JWPL09240001,FILLING,PCS,S,1,SAP resource BaseQty,PREMIUM,OLIVE,0.5
