FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
OMLOGISTICS	OM LOGISTICS	2026-01	4	0.51	0.02	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
ASHOKTRANSPORT	ASHOK TRANSPORT	2025-11	26	8.58	8.58	100	100	2	ASHOK TRANSPORT	NULL	NULL	NULL
ASHOKTRANSPORT	ASHOK TRANSPORT	2025-12	2	0.71	0.71	100	100	1	ASHOK TRANSPORT	2	0.7	97.5
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2024-10	1	0.29	0.29	0	100	1	HARYANA EXPRESS LOGISTICS BGFPP8298F	1	0.3	101.1
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2025-02	1	1.17	1.17	100	0	1	HARYANA EXPRESS LOGISTICS BGFPP8298F	NULL	NULL	NULL
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2025-04	2	1.21	1.21	100	100	1	HARYANA EXPRESS LOGISTICS BGFPP8298F	1	0.11	9.3
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2025-05	2	0.89	0.89	100	100	1	HARYANA EXPRESS LOGISTICS BGFPP8298F	NULL	NULL	NULL
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2025-07	9	3.33	3.33	100	100	2	HARYANA EXPRESS LOGISTICS BGFPP8298F	2	0.24	7.1
HARYANAEXPRESS	HARYANA EXPRESS LOGISTICS BGFPP8298F	2025-08	3	1.32	1.32	100	100	2	HARYANA EXPRESS LOGISTICS BGFPP8298F	3	0.34	26
PUNJABHIMACHAL	PUNJAB HIMACHAL	2024-10	1	0.51	0.51	0	100	1	PUNJAB HIMACHAL ROAD SERVICE	2	1.27	248.8
PUNJABHIMACHAL	PUNJAB HIMACHAL	2024-12	2	2.23	2.23	100	100	1	PUNJAB HIMACHAL ROAD SERVICE	1	0.22	9.8
PUNJABHIMACHAL	PUNJAB HIMACHAL	2025-11	1	1.22	1.22	100	100	1	PUNJAB HIMACHAL ROAD SERVICE	NULL	NULL	NULL
PUNJABHIMACHAL	PUNJAB HIMACHAL	2026-03	1	1.22	1.22	100	100	1	PUNJAB HIMACHAL ROAD SERVICE	NULL	NULL	NULL
PSROADLINES	PS Road Lines	2026-05	7	2.12	2.12	100	100	1	PS ROADLINES INDIA PRIVATE LIMITED	NULL	NULL	NULL
PSROADLINES	PS Road Lines	2026-06	9	2.4	2.4	100	100	1	PS ROADLINES INDIA PRIVATE LIMITED	NULL	NULL	NULL
ABHIMANEXPRESS	Abhiman Express	2026-04	5	2.4	2.4	100	100	1	ABHIMAN EXPRESS	2	0.47	19.4
ABHIMANEXPRESS	Abhiman Express	2026-05	1	0.11	0	100	100	1	ABHIMAN EXPRESS	NULL	NULL	NULL
ABHIMANEXPRESS	Abhiman Express	2026-07	1	0.06	0	100	100	1	ABHIMAN EXPRESS	NULL	NULL	NULL
ABHIMANEXPRESS	Abhiman Express	2026-08	4	1.64	1.64	100	100	1	ABHIMAN EXPRESS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2024-12	1	0.35	0.35	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2025-03	1	0.73	0.73	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2025-04	1	0.09	0.09	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2025-05	1	0.7	0.7	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2025-08	1	0.51	0.51	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2025-11	1	0.69	0.69	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2026-05	1	0.47	0.47	100	100	1	AIR TRANS	NULL	NULL	NULL
AIRTRANS	AIR TRANS	2026-06	2	0.41	0.41	100	100	1	AIR TRANS	1	0.04	10.5
RISHABHTEMPOTRANSPORT	Rishabh Tempo Transport	2025-04	4	3.51	3.51	100	100	1	RISHABH TEMPO TRANSPORT	NULL	NULL	NULL
ROHITCARGO	Rohit Cargo	2025-08	1	0.94	0.94	100	100	1	ROHIT CARGO MOVERS (P) LTD	NULL	NULL	NULL
ROHITCARGO	Rohit Cargo	2025-10	2	1.47	1.47	100	100	1	ROHIT CARGO MOVERS (P) LTD	NULL	NULL	NULL
ROHITCARGO	Rohit Cargo	2025-11	1	0.97	0.97	100	100	1	ROHIT CARGO MOVERS (P) LTD	3	0.41	42.2
ZZ_OTHER	(all other transporters)	2024-10	1	0.5	0.5	100	100	1	NULL	NULL	NULL	NULL
