SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR	VENDA001203	GRAINCORP OILSEEDS PTY LTD [EXTERNAL]	5	6	6	339409936.68	2.43	339409939.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	6	0	0	6	6	100	0	0	6	339409939.11	0	0	0	0
VENDOR	VENDA001035	ALBA EDIBLE OILS PTY LTD [EXTERNAL]	5	12	12	257559508.65	-0.47	257559508.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	12	0	0	12	11	91.67	0.25	0	12	257559508.18	0	0	0	0
VENDOR	VENDA000614	DHANLAXMI EDIBLES PRIVATE LIMITED [EXTERNAL]	5	32	32	203299618	10164980.93	213464598.93	1	1	6963600	348180	7311780	7311780	0	0	0	0	0	0	0	0	0	2026-08-20	2	0	0	0	0	0	0	31	1	7311780	31	31	100	0	0	32	213464598.93	1	7311780	0	0
VENDOR	VENDA000959	ILAHI CO [EXTERNAL]	5	55	55	143269420.4	7163471.02	150432891.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	55	0	0	55	55	100	0	0	55	150432891.42	0	0	0	0
VENDOR	VENDA001695	M/S ARORA AGRI BUSINESS VENTURES [EXTERNAL]	5	25	25	140908565	7045428.25	147953993.25	1	1	5826640	291332	6117972	6117972	0	0	0	0	0	0	0	0	0	2026-08-21	1	0	0	0	0	0	0	24	1	6117972	24	24	100	0	0	25	147953993.25	1	6117972	0	0
VENDOR	VENDA001555	NURTURING FOODS LLP [EXTERNAL]	5	11	11	128554940	6427746.99	134982686.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	11	0	0	11	11	100	0	0	11	134982686.99	0	0	0	0
VENDOR	VENDA000597	WEB DIVE ENTERPRISE LLP AAEFW4174F [EXTERNAL]	5	18	25	120859439.8	6042971.99	126902411.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	18	0	0	18	17	94.44	0.06	0	18	126902411.79	0	0	0	0
VENDOR	VENDA001531	BD EDIBLE OILS PVT LTD [EXTERNAL]	5	21	21	112003634	5600181.71	117603815.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	21	0	0	21	21	100	0	0	21	117603815.71	0	0	0	0
VENDOR	VENDA001028	DEEN DAYAL AGRO INDUSTRIES [EXTERNAL]	5	22	22	110737320	5536866.02	116274186.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	22	0	0	22	22	100	0	0	22	116274186.02	0	0	0	0
VENDOR	VENDA000149	MIGASA ACEITES S L U [EXTERNAL]	5	22	23	110368433.91	-0.26	110368433.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	22	0	0	22	21	95.45	0.09	0	22	110368433.65	0	0	0	0
