FAM_KEY	TN_SAMPLE	YM	DISP_DOCS	DISP_VAL_L	EXT_DISP_VAL_L	LR_PCT	VEH_PCT	VARIANTS	VENDOR_NAME	FRT_DOCS	FRT_SPEND_L	FRT_PCT_OF_DISP
RKTANKER	R K TANKER	2025-12	8	417.48	417.48	100	100	3	R K TANKER SERVICE	7	42.66	10.2
RKTANKER	R K TANKER	2026-01	10	573.8	573.8	100	100	4	R K TANKER SERVICE	3	14.44	2.5
OMLOGISTIC	OM LOGISTIC	2024-10	45	107.83	23.24	84.4	97.8	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTIC	OM LOGISTIC	2024-11	10	41.54	2.78	90	90	3	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTIC	OM LOGISTIC	2024-12	14	133.26	108.78	100	85.7	3	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTIC	OM LOGISTIC	2025-01	51	211.36	211.36	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTIC	OM LOGISTIC	2025-02	65	339.06	224.99	93.8	96.9	4	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	2	5.16	1.5
OMLOGISTIC	OM LOGISTIC	2025-03	55	311.38	222.27	100	98.2	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	7	7.97	2.6
OMLOGISTIC	OM LOGISTIC	2025-04	70	326.74	205.91	100	100	6	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	NULL	NULL	NULL
OMLOGISTIC	OM LOGISTIC	2025-05	67	192.78	44.74	100	100	5	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	1	1.65	0.9
OMLOGISTIC	OM LOGISTIC	2025-06	45	181.3	71.12	100	100	3	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	6	6.87	3.8
OMLOGISTIC	OM LOGISTIC	2025-07	83	650	381.79	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	7	0.77	0.1
OMLOGISTIC	OM LOGISTIC	2025-08	56	207.09	137.33	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	7	9.03	4.4
OMLOGISTIC	OM LOGISTIC	2025-09	66	241.45	164.05	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	8	10.97	4.5
OMLOGISTIC	OM LOGISTIC	2025-10	74	294.94	172.99	100	100	4	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	1	3.64	1.2
OMLOGISTIC	OM LOGISTIC	2025-11	56	210.8	86.81	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	2	3.65	1.7
OMLOGISTIC	OM LOGISTIC	2025-12	44	144.72	73.24	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	16	10.93	7.6
OMLOGISTIC	OM LOGISTIC	2026-01	70	231.34	103.13	100	98.6	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	6	6.98	3
OMLOGISTIC	OM LOGISTIC	2026-02	54	103.96	37.69	100	100	2	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	1	6.36	6.1
OMLOGISTIC	OM LOGISTIC	2026-03	4	15.68	0	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	9	9.31	59.4
OMLOGISTIC	OM LOGISTIC	2026-04	1	3.12	0	100	100	1	OM LOGISTICS LTD + OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED	2	0.96	30.7
GURUNANAK	GURU NANAK TPT	2024-10	34	364.4	214.84	100	32.4	1	GURU NANAK TRANSPORT SERVICE	2	0.08	0
GURUNANAK	GURU NANAK TPT	2024-11	23	305.24	259.71	100	43.5	1	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2024-12	1	23.77	23.77	100	100	1	GURU NANAK TRANSPORT SERVICE	17	6.91	29.1
GURUNANAK	GURU NANAK TPT	2025-01	5	76.39	75.41	80	80	3	GURU NANAK TRANSPORT SERVICE	1	0.57	0.7
GURUNANAK	GURU NANAK TPT	2025-02	3	45.98	45.98	100	100	2	GURU NANAK TRANSPORT SERVICE	6	3.03	6.6
GURUNANAK	GURU NANAK TPT	2025-04	6	94.86	52.27	100	100	3	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2025-05	14	233.21	178.1	100	100	3	GURU NANAK TRANSPORT SERVICE	3	2.55	1.1
GURUNANAK	GURU NANAK TPT	2025-06	16	216.84	111.22	100	100	4	GURU NANAK TRANSPORT SERVICE	1	0.29	0.1
GURUNANAK	GURU NANAK TPT	2025-07	2	6.07	0	100	100	1	GURU NANAK TRANSPORT SERVICE	6	4.16	68.5
GURUNANAK	GURU NANAK TPT	2025-08	16	169.02	49.37	100	100	2	GURU NANAK TRANSPORT SERVICE	2	1.83	1.1
GURUNANAK	GURU NANAK TPT	2025-09	11	78.08	31.66	100	100	1	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2025-10	9	66.22	38.79	100	100	2	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2025-11	12	145.84	116.47	100	100	3	GURU NANAK TRANSPORT SERVICE	5	2.64	1.8
GURUNANAK	GURU NANAK TPT	2025-12	7	60.69	7.43	100	100	2	GURU NANAK TRANSPORT SERVICE	6	3.01	5
GURUNANAK	GURU NANAK TPT	2026-01	1	35.4	35.4	100	100	1	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2026-02	7	54.41	45.85	100	100	2	GURU NANAK TRANSPORT SERVICE	NULL	NULL	NULL
GURUNANAK	GURU NANAK TPT	2026-03	8	42.99	0	100	100	3	GURU NANAK TRANSPORT SERVICE	4	3.43	8
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-03	21	274.06	191	100	100	1	ABHIMAN EXPRESS	NULL	NULL	NULL
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-04	24	251.01	169.42	100	100	1	ABHIMAN EXPRESS	3	4.69	1.9
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-05	29	311.5	311.5	100	100	1	ABHIMAN EXPRESS	1	1.23	0.4
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-06	26	223.69	211.45	100	100	1	ABHIMAN EXPRESS	6	9.06	4
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-07	36	378.51	314.79	100	100	2	ABHIMAN EXPRESS	4	8.04	2.1
ABHIMANEXPRESS	ABHIMAN EXPRESS	2026-08	4	0.54	0.54	100	100	1	ABHIMAN EXPRESS	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2024-12	1	36.04	36.04	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2025-01	1	0	0	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2025-05	1	1.11	1.11	100	100	1	NULL	NULL	NULL	NULL
BOMBEYSRINAGAR	Bombey Sri Nagar	2025-06	5	66.6	66.6	100	100	2	NULL	NULL	NULL	NULL
