SCOPE	GRP_KEY	GRP_LABEL	SORT_KEY	GRPO_DOCS	GRPO_LINES	GRPO_NET	GRPO_GST	GRPO_GROSS	UNBILLED_DOCS	UNBILLED_LINES	UNBILLED_NET	UNBILLED_GST	UNBILLED_GROSS	UB_0_30	UB_31_60	UB_61_90	UB_91_180	UB_181_365	UB_365PLUS	UB_90PLUS_DOCS	UB_90PLUS_GROSS	UB_ZEROQTY_LINES	UB_ZEROQTY_GROSS	OLDEST_UB_DATE	OLDEST_UB_DAYS	CLOSED_NOBILL_DOCS	CLOSED_NOBILL_LINES	CLOSED_NOBILL_GROSS	RETURNED_DOCS	RETURNED_LINES	RETURNED_GROSS	INVOICED_DOCS	NOINV_DOCS	NOINV_GROSS	INV_PAIR_DOCS	INV_SAMEDAY_DOCS	INV_SAMEDAY_PCT	INV_LAG_AVG_DAYS	INV_LAG_MED_DAYS	EXT_GRPO_DOCS	EXT_GRPO_GROSS	EXT_UNBILLED_DOCS	EXT_UNBILLED_GROSS	EXT_UB_90PLUS_DOCS	EXT_UB_90PLUS_GROSS
VENDOR_UNBILLED	VENDA000517	ROYAL PRIME LABELS [EXTERNAL]	6	27	157	2566694.95	460199.7	3026894.65	1	1	7000	1260	8260	0	0	0	0	8260	0	1	8260	0	0	2025-09-13	343	1	3	10029.95	0	0	0	25	2	18289.95	25	23	92	0.56	0	27	3026894.65	1	8260	1	8260
VENDOR_UNBILLED	VENDA001098	JINDOO RAM AND SONS [EXTERNAL]	6	1	1	6500	1170	7670	1	1	6500	1170	7670	0	0	0	0	0	7670	1	7670	0	0	2025-04-17	492	0	0	0	0	0	0	0	1	7670	0	0	NULL	NULL	NULL	1	7670	1	7670	1	7670
VENDOR_UNBILLED	ORGV000207	KAMALPREET SINGH BHATIA FACTORY ( IMPREST 3L ) [EXTERNAL]	6	48	59	111266.7	0	111266.7	2	2	7289	0	7289	0	0	0	0	0	7289	2	7289	0	0	2025-05-31	448	0	0	0	0	0	0	46	2	7289	46	11	23.91	19.26	2.5	48	111266.7	2	7289	2	7289
VENDOR_UNBILLED	ORGV000245	ARVINDER SINGH IMPREST JWPL0115 FACTORY IMPREST 5 LAKH [EXTERNAL]	6	13	15	13600	0	13600	4	5	5420	0	5420	5420	0	0	0	0	0	0	0	0	0	2026-07-23	30	0	0	0	0	0	0	9	4	5420	9	1	11.11	7.44	7	13	13600	4	5420	0	0
VENDOR_UNBILLED	VENDA000792	M/S SIGMA ASSOCIATES [EXTERNAL]	6	5	6	390500	70290	460790	1	1	4500	810	5310	0	0	0	0	0	5310	1	5310	0	0	2025-02-07	561	0	0	0	0	0	0	4	1	5310	4	3	75	8.75	0	5	460790	1	5310	1	5310
VENDOR_UNBILLED	VENDA001103	OM LOGISTICS SUPPLY CHAIN PRIVATE LIMITED [EXTERNAL]	6	21	23	234444.27	44709.97	279154.24	1	1	4412.5	794.25	5206.75	0	0	0	0	5206.75	0	1	5206.75	1	5206.75	2025-09-16	340	1	1	3410.92	0	0	0	19	2	8617.67	19	0	0	86.89	91	21	279154.24	1	5206.75	1	5206.75
VENDOR_UNBILLED	VENDA001214	MAHAVIR TRANSPORT [EXTERNAL]	6	106	112	502678.13	25133.91	527812.04	1	1	4500	225	4725	0	0	0	0	4725	0	1	4725	1	4725	2026-02-10	193	0	0	0	0	0	0	105	1	4725	105	4	3.81	38.62	31	106	527812.04	1	4725	1	4725
VENDOR_UNBILLED	VENDA000931	TPAC PACKAGING INDIA PVT LTD II [EXTERNAL]	6	2	2	178758.72	32176.57	210935.29	1	1	3600	648	4248	0	0	0	0	0	4248	1	4248	0	0	2024-10-04	687	0	0	0	0	0	0	1	1	4248	1	1	100	0	0	2	210935.29	1	4248	1	4248
VENDOR_UNBILLED	VENDA001346	PICK & SHIP LOGISTICS PRIVATE LIMITED [EXTERNAL]	6	54	54	90920.68	16365.72	107286.4	4	4	2569	462.42	3031.42	0	3031.42	0	0	0	0	0	0	4	3031.42	2026-07-13	40	0	0	0	0	0	0	50	4	3031.42	50	1	2	16.44	18.5	54	107286.4	4	3031.42	0	0
VENDOR_UNBILLED	VENDA000403	B LAL SONS [EXTERNAL]	6	9	24	54239.5	2884	57123.5	1	1	2250	112.5	2362.5	0	2362.5	0	0	0	0	0	0	0	0	2026-07-14	39	1	6	12405.5	0	0	0	7	2	14768	7	7	100	0	0	9	57123.5	1	2362.5	0	0
VENDOR_UNBILLED	VENDA000168	AIRPOWER SYSTEMS [EXTERNAL]	6	6	27	833875.14	150097.53	983972.66	1	1	1624	292.32	1916.32	1916.32	0	0	0	0	0	0	0	0	0	2026-08-04	18	0	0	0	0	0	0	5	1	1916.32	5	2	40	5.2	1	6	983972.66	1	1916.32	0	0
VENDOR_UNBILLED	VENDA000003	JIVO WELLNESS PVT LTD - HR [BRANCH]	6	43	176	2353339.16	397113.1	2750452.26	1	1	901.02	162.18	1063.2	0	0	0	0	0	1063.2	1	1063.2	0	0	2024-12-06	624	0	0	0	0	0	0	42	1	1063.2	42	29	69.05	5.02	0	0	0	0	0	0	0
VENDOR_UNBILLED	ORGV000041	BHUPINDER SINGH GINNI IMPREST JWPL1556 [EXTERNAL]	6	108	160	142858	0	142858	1	1	950	0	950	0	0	0	950	0	0	1	950	0	0	2026-05-22	92	4	11	4250	0	0	0	103	5	5200	103	27	26.21	7.5	3	108	142858	1	950	1	950
VENDOR_UNBILLED	ORGV000197	VISHAL TYAGI IMPREST (3L) JWPL0593 [EXTERNAL]	6	34	37	61426	0	61426	1	1	900	0	900	0	0	0	0	0	900	1	900	0	0	2025-08-06	381	1	1	2549	0	0	0	32	2	3449	32	8	25	3.13	2	34	61426	1	900	1	900
VENDOR_UNBILLED	VENDA001448	GRAPHICS ELITE [EXTERNAL]	6	1	3	238	42.84	280.84	1	3	238	42.84	280.84	280.84	0	0	0	0	0	0	0	0	0	2026-08-14	8	0	0	0	0	0	0	0	1	280.84	0	0	NULL	NULL	NULL	1	280.84	1	280.84	0	0
WAREHOUSE	BH-PM	BH-PM	7	393	643	107909746.87	18866005.72	126775752.59	13	23	7877114.78	1400749.66	9277864.44	8809595.6	0	0	380612.54	0	87656.3	3	468268.84	0	0	2024-10-04	687	3	3	388647.3	0	0	0	377	16	9666511.74	NULL	NULL	NULL	NULL	NULL	390	126387105.29	13	9277864.44	3	468268.84
WAREHOUSE	BH-FA	BH-FA	7	633	1571	31969572.56	5415693.59	37385266.14	24	30	4254372.8	762873.98	5017246.78	603401.28	16876.5	1421900	950	2958260	15859	7	2975069	0	0	2025-04-17	492	15	47	403987.44	0	0	0	594	39	5421234.22	NULL	NULL	NULL	NULL	NULL	633	37385266.14	24	5017246.78	7	2975069
WAREHOUSE	BH-FR	BH-FR	7	73	108	28504943.68	4939436.4	33444380.07	3	22	24092007.48	4332932.5	28424939.97	28419629.97	0	0	0	0	5310	1	5310	0	0	2025-02-07	561	0	0	0	0	0	0	70	3	28424939.97	NULL	NULL	NULL	NULL	NULL	71	5024750.1	1	5310	1	5310
WAREHOUSE	(none)	(none)	7	3271	3817	20847677.49	1111212.02	21958889.51	186	206	1175076.5	59661.42	1234737.92	1050977.55	113042.02	4800.6	55986	9931.75	0	10	65917.75	206	1234737.92	2025-09-16	340	21	23	166326.97	0	0	0	3065	206	1401063.89	NULL	NULL	NULL	NULL	NULL	3271	21958889.51	186	1234737.92	10	65917.75
WAREHOUSE	GP-PM	GP-PM	7	23	29	13015165.02	2342823.42	15357988.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	23	0	0	NULL	NULL	NULL	NULL	NULL	23	15357988.44	0	0	0	0
WAREHOUSE	BH-PP	BH-PP	7	23	67	3052296.45	522591.88	3574888.33	3	19	101318.95	18049.07	119368.02	117748.92	0	0	1619.1	0	0	1	1619.1	0	0	2026-03-27	148	9	37	2446393.75	0	0	0	11	12	2565761.77	NULL	NULL	NULL	NULL	NULL	12	1096446.56	1	87320	0	0
WAREHOUSE	BH-LB	BH-LB	7	94	294	2019119.4	352308.02	2371427.42	1	5	20655	1562.5	22217.5	0	0	0	22217.5	0	0	1	22217.5	0	0	2026-04-24	120	1	1	87792	0	0	0	92	2	110009.5	NULL	NULL	NULL	NULL	NULL	94	2371427.42	1	22217.5	1	22217.5
WAREHOUSE	DL-PS	DL-PS	7	13	56	1068347.5	213004.01	1281351.52	1	1	901.02	162.18	1063.2	0	0	0	0	0	1063.2	1	1063.2	0	0	2024-12-06	624	0	0	0	0	0	0	12	1	1063.2	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	BH-FG	BH-FG	7	13	57	640399.14	119100.34	759499.48	1	3	238	42.84	280.84	280.84	0	0	0	0	0	0	0	0	0	2026-08-14	8	1	3	10029.95	0	0	0	11	2	10310.79	NULL	NULL	NULL	NULL	NULL	4	26513.37	1	280.84	0	0
WAREHOUSE	DL-FG	DL-FG	7	8	27	407241.42	65920.32	473161.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	8	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	PB-JP	PB-JP	7	4	26	359315.86	48736.09	408051.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	4	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	PB-ST	PB-ST	7	12	30	317526.59	34235.66	351762.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	12	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	BH-PS	BH-PS	7	1	10	136019.62	26088.24	162107.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	PB-PS	PB-PS	7	1	10	135953.38	26080.32	162033.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	DL-POP	DL-POP	7	3	3	94325	16978.5	111303.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	1	1	0	0	0	0	2	1	0	NULL	NULL	NULL	NULL	NULL	3	111303.5	0	0	0	0
WAREHOUSE	DL-J3	DL-J3	7	7	31	73758.45	10193.14	83951.59	2	4	8804.04	1056.45	9860.49	0	0	0	0	0	9860.49	2	9860.49	0	0	2025-05-15	464	0	0	0	0	0	0	5	2	9860.49	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0
WAREHOUSE	DL-FA	DL-FA	7	1	1	4560	820.8	5380.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	0	0	0	0	0	0	1	0	0	NULL	NULL	NULL	NULL	NULL	1	5380.8	0	0	0	0
