product_group,subgroup_id,sub_group,skus,active_skus
Milk Shake,1080,Maxum Java Coffee,1,1
Mini Meals,851,Milk,33,17
Mini Meals,990,Thali,13,13
Mini Meals,915,Chhole Bhature,5,3
Mini Meals,972,Raita,4,4
Mini Meals,968,Plain Rice,2,2
Mini Meals,1059,Kadi Chawal,2,2
Mini Meals,1060,Rajma Chawal,2,0
Mini Meals,926,Fried Rice Wth Gravy,2,2
Mini Meals,936,Jeera Rice,1,1
Mini Meals,909,Chana Rice,1,1
Mini Meals,903,American Corn,1,1
Mini Meals,1070,Vada Pao,1,1
Mini Meals,970,Pulao,1,1
Mini Meals,971,Puri Chana,1,1
Mini Meals,985,Special Thali,1,1
Mini Meals,974,Rajmah Rice,1,1
Mobile,356,Charger,8,8
Night Wear,626,Night Suits,114,110
Oil & Ghee,616,Mustard Oil,32,32
Oil & Ghee,475,Ghee,14,14
Oil & Ghee,791,Til Oil,5,5
Others,964,Pastrie,11,11
Others,918,Custard,8,8
Others,940,Lassi,4,4
Others,1043,Curd/Raita,4,4
Others,966,Patis,3,3
Others,994,Vegetable Salad,3,3
Others,930,Green Salad,3,3
Others,927,Fruit Salad,3,3
Others,928,Gajrela,3,3
Others,932,Gulab Jamun,2,2
Others,1028,Namkeen,2,2
Others,1042,Gujia,2,2
Others,982,Shikanji,1,1
Packing,1077,Packing,20,8
Personal Care,719,Shampoo,395,395
Personal Care,281,Bath Soap,346,346
Personal Care,411,Parfums,252,252
Personal Care,807,Tooth Paste,193,193
Personal Care,448,Face Wash,165,165
Personal Care,501,Hair Oil,152,152
Personal Care,412,Deos,125,125
Personal Care,602,Body Lotion,123,123
Personal Care,803,Tooth Brush,107,107
Personal Care,891,Hand Wash,100,100
Personal Care,777,Powder,90,90
Personal Care,396,Cream,79,79
Personal Care,260,Baby Diaper,73,73
Personal Care,452,Fairness Cream,61,61
Personal Care,386,Conditioner,55,55
Personal Care,449,Face Wash Gel,53,53
Personal Care,603,Moisturizer Cream,53,53
Personal Care,711,Sanitary Pads,46,46
Personal Care,377,Cold Cream,46,46
Personal Care,645,Parfum,45,45
Personal Care,703,Sanitary Pad,37,37
Personal Care,305,Body Wash Gel,35,35
Personal Care,732,Shower Gel,34,34
Personal Care,447,Face Pack,31,31
Personal Care,846,Wipes,23,23
Personal Care,896,Shaving Razor,19,19
Personal Care,500,Hair Fixer,19,19
Personal Care,263,Baby Soap,17,17
Personal Care,754,Spf,17,17
Personal Care,722,Shave Gel,16,16
Personal Care,717,Scrub,16,16
Personal Care,1035,Hair Colour,16,16
Personal Care,259,Baby Oil,15,15
Personal Care,257,Baby Cream,15,15
Personal Care,723,Shaving Gel,14,14
Personal Care,563,Lip Care,14,14
Personal Care,607,Mouth Wash,12,12
Personal Care,739,Petrolium Jelly,12,12
Personal Care,451,Facial Kit,12,12
Personal Care,258,Baby Lotion,11,11
Personal Care,1083,Serum,11,11
