product_group,subgroup_id,sub_group,skus,active_skus
Jam & Sauce,469,Fruit Bar & Jam,12,12
Jam & Sauce,800,Tomato Pichkoo,11,11
Jam & Sauce,799,Tomato Chilli,4,4
Kakars,865,Kirpan,3,3
Kakars,862,Kangha,2,2
Kakars,863,Kara,1,0
Kids Wear,625,Nicker Suits,29,29
Kids Wear,478,Girls Dress,29,29
Kids Wear,315,Boys Dress,10,10
Kids Wear,424,Dress,8,8
Kids Wear,466,Frock,4,4
Kids Wear,1064,Kids Winter Dress,2,2
Kids Wear,1045,Mask,1,1
Kitchen Utility,457,Flask,48,48
Kitchen Utility,757,Spoon,35,35
Kitchen Utility,718,Scrubber,35,35
Kitchen Utility,405,Cutter,30,30
Kitchen Utility,543,Kinife,20,20
Kitchen Utility,735,Silver Foil,18,18
Kitchen Utility,354,Channi,17,17
Kitchen Utility,345,Casserole,15,15
Kitchen Utility,781,Tea Stainer,15,15
Kitchen Utility,404,Cutlery,14,14
Kitchen Utility,503,Hand Mixer,13,13
Kitchen Utility,360,Chipser,13,13
Kitchen Utility,529,Jug,13,13
Kitchen Utility,999,Knife,12,12
Kitchen Utility,390,Cookware,10,10
Kitchen Utility,351,Chakla Belan,8,8
Kitchen Utility,651,Peeler,8,8
Kitchen Utility,760,Stainer,7,7
Kitchen Utility,464,Fork,7,7
Kitchen Utility,841,Water Filter,7,7
Kitchen Utility,1002,Grater,4,4
Kitchen Utility,1000,Gas Lighter,3,3
Kitchen Utility,350,Chakla,3,3
Kitchen Utility,290,Belan,3,3
Kitchen Utility,622,Napkin Holder,3,3
Kitchen Utility,535,Karchi,2,2
Kitchen Utility,536,Katori,2,2
Kitchen Utility,802,Tong,2,2
Kitchen Utility,418,Dinner Set,2,2
Kitchen Utility,560,Lemom Squeezer,1,1
Kitchen Utility,661,Pickle Pot,1,1
Kitchen Utility,1001,Gas Pipe,1,1
Ladies Ethnic Wear,430,Dupatta,82,82
Life Style,836,Wallet,41,41
Life Style,291,Belt,23,23
Life Style,255,Atm Cover,5,5
Medicare,586,Medicare,60,60
Medicare,636,Pain Relief,39,39
Medicare,483,Glucose,22,22
Medicare,635,Pachak Churan,19,19
Medicare,606,Mosquito Killer,19,19
Medicare,395,Cough Syrup,10,10
Medicare,366,Chyawanprash,10,10
Medicare,249,Antisept Lotion,9,9
Medicare,769,Suger Free,7,7
Medicare,537,Kayam Churan,6,6
Medicare,997,Ayurvedic,6,6
Medicare,644,Paracitamol,5,5
Medicare,273,Banadryl,5,5
Medicare,266,Badam Roghan,5,5
Medicare,443,Eno,4,4
Medicare,830,Vaporub,4,4
Medicare,897,Cotton,4,4
Medicare,406,D Cold Total,3,3
Medicare,508,Heel Repair,3,3
Medicare,526,Janma Ghunti,3,3
Medicare,522,Itch Guard,3,3
Medicare,514,Honitus,2,2
Medicare,417,Diclowin Plus,2,2
Medicare,254,Ashvashila,2,2
Medicare,558,Lavabhaskar Churan,2,2
Medicare,785,Thermometer,2,2
Medicare,695,Ring Guard,2,2
Medicare,844,Wheat Grass,2,2
Medicare,1005,Tonic,2,2
Medicare,996,Sat-Isabgol,1,1
Medicare,1021,Uptan,1,1
Medicare,737,Sitopaladi Churna,1,1
Medicare,726,Shilajit,1,1
Medicare,789,Thrermometer,1,1
Medicare,740,Skin Toner,1,1
Medicare,528,Joshanda,1,1
Medicare,265,Badam Pak,1,1
Medicare,275,Bandaid,1,1
Medicare,421,Disprin,1,1
Mens Wear,820,T-Shirt,100,100
Mens Wear,527,Jeans,92,92
Mens Wear,571,Lower,64,64
Mens Wear,727,Shirts,52,52
Mens Wear,819,Trouser,26,26
Mens Wear,624,Nicker,6,6
