group_id,product_group,subgroup_id,sub_group,skus
134,House Hold,611,Multi Purpose Stand,8
134,House Hold,620,Namak Dani,6
134,House Hold,621,Napkin,2
134,House Hold,685,Rain Cap,2
134,House Hold,697,Rope,10
134,House Hold,874,Sipper,12
134,House Hold,748,Soap Case,15
134,House Hold,761,Stand,9
134,House Hold,783,Thapi,4
134,House Hold,788,Threads Pine,0
134,House Hold,796,Toilet Brush,10
134,House Hold,1047,Toilet Seat,1
134,House Hold,879,Tub,10
134,House Hold,837,Wash Brush,10
134,House Hold,840,Water Bottle,102
134,House Hold,842,Water Jug,13
134,House Hold,845,Wiper,36
135,Jam & Sauce,469,Fruit Bar & Jam,12
135,Jam & Sauce,525,Jam,33
135,Jam & Sauce,585,Mayonnaise,61
135,Jam & Sauce,660,Pickle,66
135,Jam & Sauce,713,Sauce,192
135,Jam & Sauce,799,Tomato Chilli,4
135,Jam & Sauce,800,Tomato Pichkoo,11
135,Jam & Sauce,801,Tomatp Pichkoo,0
163,Kakars,862,Kangha,2
163,Kakars,863,Kara,1
163,Kakars,865,Kirpan,3
184,Kids Wear,315,Boys Dress,10
184,Kids Wear,424,Dress,8
184,Kids Wear,466,Frock,4
184,Kids Wear,478,Girls Dress,29
184,Kids Wear,1064,Kids Winter Dress,2
184,Kids Wear,1045,Mask,1
184,Kids Wear,625,Nicker Suits,29
136,Kitchen Utility,290,Belan,3
136,Kitchen Utility,345,Casserole,15
136,Kitchen Utility,350,Chakla,3
136,Kitchen Utility,351,Chakla Belan,8
136,Kitchen Utility,354,Channi,17
136,Kitchen Utility,360,Chipser,13
136,Kitchen Utility,390,Cookware,10
136,Kitchen Utility,404,Cutlery,14
136,Kitchen Utility,405,Cutter,30
136,Kitchen Utility,418,Dinner Set,2
136,Kitchen Utility,457,Flask,48
136,Kitchen Utility,464,Fork,7
136,Kitchen Utility,1000,Gas Lighter,3
136,Kitchen Utility,1001,Gas Pipe,1
136,Kitchen Utility,1002,Grater,4
136,Kitchen Utility,503,Hand Mixer,13
136,Kitchen Utility,529,Jug,13
136,Kitchen Utility,535,Karchi,2
136,Kitchen Utility,536,Katori,2
136,Kitchen Utility,543,Kinife,20
136,Kitchen Utility,999,Knife,12
136,Kitchen Utility,560,Lemom Squeezer,1
136,Kitchen Utility,622,Napkin Holder,3
136,Kitchen Utility,651,Peeler,8
136,Kitchen Utility,661,Pickle Pot,1
136,Kitchen Utility,718,Scrubber,35
136,Kitchen Utility,735,Silver Foil,18
136,Kitchen Utility,1065,Sink Brush,0
136,Kitchen Utility,757,Spoon,35
136,Kitchen Utility,760,Stainer,7
136,Kitchen Utility,781,Tea Stainer,15
136,Kitchen Utility,802,Tong,2
136,Kitchen Utility,841,Water Filter,7
185,Ladies Ethnic Wear,430,Dupatta,82
137,Life Style,255,Atm Cover,5
137,Life Style,291,Belt,23
137,Life Style,836,Wallet,41
138,Medicare,249,Antisept Lotion,9
138,Medicare,254,Ashvashila,2
138,Medicare,997,Ayurvedic,6
138,Medicare,265,Badam Pak,1
138,Medicare,266,Badam Roghan,5
138,Medicare,273,Banadryl,5
138,Medicare,275,Bandaid,1
138,Medicare,366,Chyawanprash,10
138,Medicare,897,Cotton,4
138,Medicare,395,Cough Syrup,10
138,Medicare,406,D Cold Total,3
138,Medicare,417,Diclowin Plus,2
138,Medicare,421,Disprin,1
138,Medicare,443,Eno,4
138,Medicare,483,Glucose,22
138,Medicare,508,Heel Repair,3
138,Medicare,514,Honitus,2
138,Medicare,522,Itch Guard,3
138,Medicare,526,Janma Ghunti,3
138,Medicare,528,Joshanda,1
138,Medicare,537,Kayam Churan,6
138,Medicare,558,Lavabhaskar Churan,2
138,Medicare,586,Medicare,60
138,Medicare,606,Mosquito Killer,19
138,Medicare,635,Pachak Churan,19
138,Medicare,636,Pain Relief,39
138,Medicare,644,Paracitamol,5
138,Medicare,695,Ring Guard,2
138,Medicare,996,Sat-Isabgol,1
