WHS	ITEMCODE	ITEMNAME	GRP	ONHAND_NOW	MOVE_SINCE_0801	PCS_OPEN_0801
BH-BT	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	102	4715.000000	160.000000	4555.000000
BH-BT	FG0000138	SANO SUNFLOWER OIL 1 LTR 20 PCS	102	33.000000	0.000000	33.000000
BH-BT	FG0000140	SANO SOYABEAN OIL 1 LTR 20 PCS	102	221.000000	0.000000	221.000000
BH-BT	FG0000141	SANO SOYABEAN OIL 5 LTR 4 PCS	102	273.000000	0.000000	273.000000
BH-BT	FG0000142	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	102	4565.000000	1483.000000	3082.000000
BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	102	1772.000000	1253.000000	519.000000
BH-BT	FG0000145	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS	102	2.000000	2.000000	0.000000
BH-BT	FG0000146	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED	102	21.000000	21.000000	0.000000
BH-BT	FG0000148	MUSTARD OIL 1 LTR 20 PCS VEDAKA	102	659.000000	0.000000	659.000000
BH-BT	FG0000149	JIVO GOLD 1 LTR 20 PCS	102	14.000000	0.000000	14.000000
BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	102	12964.000000	2748.000000	10216.000000
BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	102	1876.000000	-1824.000000	3700.000000
BH-BT	FG0000154	MUSTARD OIL 100 MLS 20 PCS(CSD)	102	12.000000	12.000000	0.000000
BH-BT	FG0000155	EXTRA VIRGIN 2 LTR 10 PCS HANDLE	102	660.000000	240.000000	420.000000
BH-BT	FG0000157	EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS	102	1022.000000	1022.000000	0.000000
BH-BT	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	102	7.000000	-16.000000	23.000000
BH-BT	FG0000183	BB ROYAL CANOLA OIL 1 LTR 20 PCS	102	859.000000	20.000000	839.000000
BH-BT	FG0000184	BB ROYAL CANOLA OIL 5 LTR 4 PCS	102	492.000000	0.000000	492.000000
BH-BT	FG0000185	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS	102	1042.000000	60.000000	982.000000
BH-BT	FG0000186	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 5 LTR 4 PCS	102	128.000000	0.000000	128.000000
BH-BT	FG0000187	ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS	102	1232.000000	1222.000000	10.000000
BH-BT	FG0000188	ZANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	34.000000	34.000000	0.000000
BH-BT	FG0000189	ZANO POMACE OLIVE 1 LTR 16 PCS	102	1677.000000	1667.000000	10.000000
BH-BT	FG0000192	SOYABEAN OIL 5 LTR 4 PCS	102	417.000000	414.000000	3.000000
BH-BT	FG0000193	SOYABEAN OIL 1 LTR 20 PCS	102	71.000000	-5.000000	76.000000
BH-BT	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	102	0.000000	-2.000000	2.000000
BH-BT	FG0000222	JIVO DESI GHEE 500 MLS 16 PCS	102	216.000000	0.000000	216.000000
BH-BT	FG0000226	RICE BRAN OIL 5 LTR 4 PCS	102	140.000000	-1828.000000	1968.000000
BH-BT	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	102	9307.000000	3460.000000	5847.000000
BH-BT	FG0000228	SO OLIVE OIL 1 LTR 16 PCS	102	744.000000	744.000000	0.000000
BH-BT	FG0000232	SO OLIVE OIL 5 LTR 4 PCS	102	128.000000	95.000000	33.000000
BH-BT	FG0000242	SANO SUNFLOWER OIL 869 GMS 20 PCS	102	173.000000	173.000000	0.000000
BH-BT	FG0000243	SANO MUSTARD OIL 869 GMS 20 PCS	102	79.000000	79.000000	0.000000
BH-BT	FG0000255	DESI GHEE 1000 MLS 12 PCS	102	480.000000	480.000000	0.000000
BH-BT	FG0000271	DESI GHEE 1000 MLS 9 PCS STEELJAR	102	8.000000	8.000000	0.000000
BH-BT	FG0000282	EXTRA VIRGIN COCONUT OIL 200 MLS 6 PCS	102	1578.000000	58.000000	1520.000000
BH-BT	FG0000295	MUSTARD KACHI GHANI 4 LTR 5 PCS	102	21.000000	0.000000	21.000000
BH-BT	FG0000305	JAITOON OIL 5 LTR 4 PCS	102	6.000000	6.000000	0.000000
BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	102	1246.000000	1087.000000	159.000000
BH-BT	FG0000307	POMACE OLIVE 1 LTR 16 PCS HANNA	102	542.000000	542.000000	0.000000
BH-BT	FG0000312	VEDAKA POMACE 1 LTR 16 PCS	102	17.000000	0.000000	17.000000
BH-BT	FG0000318	KIRPA DESI GHEE 1 LTR 12 PCS	102	117.000000	116.000000	1.000000
BH-BT	FG0000319	KIRPA DESI GHEE 500 MLS 16 PCS	102	2522.000000	-375.000000	2897.000000
BH-BT	FG0000320	YELLOW MUSTARD OIL 1 LTR 16 PCS	102	33.000000	0.000000	33.000000
BH-BT	FG0000322	LE CHEF POMACE  1 LTR 16 PCS	102	3088.000000	3088.000000	0.000000
