docnum,src,docdate,card,whs,pcs,litres,dispatched_at,cls
626070229,INVOICE,2026-07-03,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,161.0,2343.6,2026-07-06T14:51:09.642292+05:30,GONE_before_1Aug
626070233,INVOICE,2026-07-03,ILAHI CO. (BTCPN5063N),BH-PF,80.0,80.0,2026-07-04T18:20:44.259053+05:30,GONE_before_1Aug
726676597,TRANSFER,2026-07-03,,BH-PF,4211.0,4036.5,__NOREC__,NO_GATE_RECORD
626070240,INVOICE,2026-07-04,ILAHI CO. (BTCPN5063N),BH-PF,1.0,1.0,2026-07-04T22:34:07.175148+05:30,GONE_before_1Aug
626070250,INVOICE,2026-07-04,SHRAY FOOD & BEVERAGES PRIVATE LIMITED,BH-PF,39.0,585.0,2026-07-06T14:51:09.642292+05:30,GONE_before_1Aug
626070251,INVOICE,2026-07-04,SURESH JUTTUR SHETTY P/O VASAVI ENTERPRISES,BH-PF,100.0,1500.0,2026-07-06T18:26:15.391253+05:30,GONE_before_1Aug
626070253,INVOICE,2026-07-04,SAGAR TRADERS,BH-PF,187.0,2805.0,2026-07-07T14:33:31.143235+05:30,GONE_before_1Aug
726676589,TRANSFER,2026-07-04,,BH-PF,250.5,607.1,__NOREC__,NO_GATE_RECORD
626070254,INVOICE,2026-07-06,VDH ORGANIC P LTD,BH-PF,15.0,3000.0,2026-07-07T16:19:16.385603+05:30,GONE_before_1Aug
626070279,INVOICE,2026-07-07,JIVO MART PVT LTD,BH-PF,15920.0,15920.0,__NOREC__,NO_GATE_RECORD
626070281,INVOICE,2026-07-07,HARPREET SINGH CASH SALE,BH-PF,2.0,10.0,__NOREC__,NO_GATE_RECORD
626070282,INVOICE,2026-07-07,HARPREET SINGH CASH SALE,BH-PF,1.0,5.0,__NOREC__,NO_GATE_RECORD
626070283,INVOICE,2026-07-07,RAVINDER SINGH SHUNTY JWPL0035,BH-PF,1.0,5.0,__NOREC__,NO_GATE_RECORD
626070287,INVOICE,2026-07-07,ONENESS TRADERS,BH-PF,12000.0,9890.1,2026-07-08T20:24:57.333630+05:30,GONE_before_1Aug
626070288,INVOICE,2026-07-08,JIVO MART PVT LTD,BH-PF,23024.0,23024.0,2026-07-08T18:58:34.311214+05:30,GONE_before_1Aug
626070290,INVOICE,2026-07-08,ILAHI CO. (BTCPN5063N),BH-PF,30.0,450.0,2026-07-08T21:51:45.184772+05:30,GONE_before_1Aug
626070297,INVOICE,2026-07-08,BRIJ LAL SURINDER KUMAR,BH-PF,835.0,11011.0,2026-07-10T19:46:29.622699+05:30,GONE_before_1Aug
726676632,TRANSFER,2026-07-08,,BH-PF,160.0,1.6,__NOREC__,NO_GATE_RECORD
626070299,INVOICE,2026-07-09,JIVO MART PVT LTD,BH-PF,5474.0,19660.0,2026-07-09T16:10:33.898889+05:30,GONE_before_1Aug
626070300,INVOICE,2026-07-09,JIVO MART PVT LTD,BH-PF,31310.0,23638.0,2026-07-09T18:54:16.402402+05:30,GONE_before_1Aug
626070302,INVOICE,2026-07-09,ASHISH ENTERPRISES,BH-PF,200.0,2857.1,2026-07-10T18:14:59.834067+05:30,GONE_before_1Aug
726676650,TRANSFER,2026-07-09,,BH-PF,600.0,8571.4,__NOREC__,NO_GATE_RECORD
626070306,INVOICE,2026-07-10,HIMJYOTI TRADERS,BH-PF,4810.0,4106.0,2026-07-12T01:04:37.678942+05:30,GONE_before_1Aug
626070311,INVOICE,2026-07-10,VIJENDER KUMAR GAURAV KUMAR JAIN,BH-PF,3000.0,2472.5,2026-07-11T18:11:47.124137+05:30,GONE_before_1Aug
626070317,INVOICE,2026-07-10,SUMIT TRADERS,BH-PF,783.0,10325.3,2026-07-11T19:02:50.182262+05:30,GONE_before_1Aug
626070319,INVOICE,2026-07-10,HARINDER SINGH & SONS,BH-PF,3600.0,2769.2,2026-07-12T01:31:42.989453+05:30,GONE_before_1Aug
626070320,INVOICE,2026-07-10,JIVO MART PVT LTD,BH-PF,5120.0,25600.0,2026-07-11T18:26:22.441393+05:30,GONE_before_1Aug
626070322,INVOICE,2026-07-10,HARINDER SINGH & SONS,BH-PF,314.0,4485.7,2026-07-12T01:31:42.989453+05:30,GONE_before_1Aug
626070324,INVOICE,2026-07-10,INTERGLOBE AVIATION LIMITED,BH-PF,1000.0,10.0,2026-07-14T20:56:05.302122+05:30,GONE_before_1Aug
626070325,INVOICE,2026-07-10,M/S MOHIT KUMAR & COMPANY,BH-PF,2106.0,6525.3,2026-07-11T22:27:49.600706+05:30,GONE_before_1Aug
626070327,INVOICE,2026-07-10,RAJEEV TRADING COMPANY,BH-PF,2150.0,6384.6,2026-07-13T15:53:09.926153+05:30,GONE_before_1Aug
626070329,INVOICE,2026-07-10,ANAND ENTERPRISES,BH-PF,5976.0,4596.9,2026-07-11T14:08:24.974173+05:30,GONE_before_1Aug
626070331,INVOICE,2026-07-10,JIVO MART PVT LTD,BH-PF,5200.0,5200.0,2026-07-11T09:08:37.794133+05:30,GONE_before_1Aug
626070332,INVOICE,2026-07-10,JIVO MART PVT LTD,BH-PF,23668.0,36900.0,2026-07-11T17:17:49.064310+05:30,GONE_before_1Aug
626070338,INVOICE,2026-07-11,HARPREET SINGH CASH SALE,BH-PF,6.0,6.0,__NOREC__,NO_GATE_RECORD
626070342,INVOICE,2026-07-11,JIVO MART PVT LTD,BH-PF,18540.0,24940.0,2026-07-14T08:32:02.621552+05:30,GONE_before_1Aug
626070343,INVOICE,2026-07-11,STAR SALES CORPORATION,BH-PF,51.0,10001.0,2026-07-13T14:34:43.033722+05:30,GONE_before_1Aug
626070344,INVOICE,2026-07-13,MAHAVIR TRADING CO. (AFVPK0742H),BH-PF,698.0,9204.4,2026-07-14T19:11:00.036956+05:30,GONE_before_1Aug
626070345,INVOICE,2026-07-13,SAI TRADING COMPANY,BH-PF,11916.0,9820.9,2026-07-15T18:17:43.501663+05:30,GONE_before_1Aug
626070346,INVOICE,2026-07-13,WAL MART INDIA PVT LTD,BH-PF,6000.0,4615.4,2026-07-14T19:44:07.605805+05:30,GONE_before_1Aug
626070349,INVOICE,2026-07-13,RAJESHWAR KISHORE MAHENDERPAL,BH-PF,3000.0,2307.7,2026-07-14T12:25:25.184263+05:30,GONE_before_1Aug
626070351,INVOICE,2026-07-13,SURAJ BHAN SUNIL KUMAR & SONS,BH-PF,6000.0,4615.4,2026-07-14T12:29:55.495653+05:30,GONE_before_1Aug
626070353,INVOICE,2026-07-13,WAL MART INDIA PVT LTD,BH-PF,6000.0,4615.4,2026-07-14T21:06:45.105180+05:30,GONE_before_1Aug
626070356,INVOICE,2026-07-13,GULZAR AHMAD AND SONS,BH-PF,1000.0,14285.7,2026-07-16T19:58:42.120339+05:30,GONE_before_1Aug
626070360,INVOICE,2026-07-14,JIVO MART PVT LTD,BH-PF,14075.0,37291.0,2026-07-16T16:16:35.672754+05:30,GONE_before_1Aug
626070362,INVOICE,2026-07-14,ANAND ENTERPRISES,BH-PF,5988.0,4606.2,2026-07-15T14:36:32.745499+05:30,GONE_before_1Aug
626070364,INVOICE,2026-07-14,ANAND ENTERPRISES,BH-PF,12.0,9.2,2026-07-15T14:36:32.745499+05:30,GONE_before_1Aug
626070366,INVOICE,2026-07-14,BRIJ LAL SURINDER KUMAR,BH-PF,835.0,11011.0,2026-07-15T20:38:07.142140+05:30,GONE_before_1Aug
626070369,INVOICE,2026-07-14,BRIJ LAL SOHAN LAL,BH-PF,98.0,1400.0,2026-07-15T18:41:00.594617+05:30,GONE_before_1Aug
626070372,INVOICE,2026-07-14,JASBIR SINGH RAJU SALES,BH-PF,8.0,8.8,__NOREC__,NO_GATE_RECORD
626070373,INVOICE,2026-07-14,BRIJ LAL SOHAN LAL,BH-PF,450.0,6428.6,2026-07-15T18:41:00.594617+05:30,GONE_before_1Aug
626070374,INVOICE,2026-07-14,STARLITE INTERNATIONAL,BH-PF,1080.0,540.0,2026-07-20T13:59:20.685920+05:30,GONE_before_1Aug
626070375,INVOICE,2026-07-14,INTERGLOBE AVIATION LIMITED,BH-PF,500.0,5.0,2026-07-20T13:59:20.685920+05:30,GONE_before_1Aug
726676727,TRANSFER,2026-07-14,,BH-PF,600.0,8571.4,__NOREC__,NO_GATE_RECORD
626070383,INVOICE,2026-07-15,JIVO MART PVT LTD,BH-PF,5548.0,25436.0,2026-07-16T15:05:16.958223+05:30,GONE_before_1Aug
626070387,INVOICE,2026-07-15,JIVO MART PVT LTD,BH-PF,10000.0,10000.0,2026-07-16T15:04:32.085549+05:30,GONE_before_1Aug
626070388,INVOICE,2026-07-15,WAL MART INDIA PVT LTD,BH-PF,10000.0,10000.0,2026-07-16T20:08:37.738066+05:30,GONE_before_1Aug
626070389,INVOICE,2026-07-15,MALHAN TRADERS AABFM4946N,BH-PF,800.0,10549.5,2026-07-16T19:52:48.304438+05:30,GONE_before_1Aug
626070398,INVOICE,2026-07-16,JIVO MART PVT LTD,BH-PF,5280.0,26400.0,2026-07-16T18:59:24.030765+05:30,GONE_before_1Aug
626070410,INVOICE,2026-07-16,PURE AGROCHEM CORPORATION,BH-PF,4800.0,3956.0,2026-07-17T12:17:49.677750+05:30,GONE_before_1Aug
626070412,INVOICE,2026-07-16,HIMJYOTI TRADERS,BH-PF,4000.0,4000.0,2026-07-18T18:40:19.124115+05:30,GONE_before_1Aug
626070415,INVOICE,2026-07-16,G PURE INDIA,BH-PF,708.0,9336.3,2026-07-17T16:18:49.661424+05:30,GONE_before_1Aug
626070418,INVOICE,2026-07-17,JIVO MART PVT LTD,BH-PF,19620.0,19620.0,2026-07-18T08:44:49.513685+05:30,GONE_before_1Aug
626070421,INVOICE,2026-07-17,JIVO MART PVT LTD,BH-PF,12120.0,12120.0,2026-07-17T18:01:11.075205+05:30,GONE_before_1Aug
626070425,INVOICE,2026-07-17,STAR SALES CORPORATION,BH-PF,2.0,30.0,2026-07-25T12:43:55.465038+05:30,GONE_before_1Aug
626070426,INVOICE,2026-07-17,JINDAL BROTHERS,BH-PF,7200.0,5538.5,2026-07-18T18:41:57.119102+05:30,GONE_before_1Aug
626070427,INVOICE,2026-07-17,HARPREET SINGH CASH SALE,BH-PF,1.0,15.0,__NOREC__,NO_GATE_RECORD
726676780,TRANSFER,2026-07-17,,BH-PF,246.0,145.0,__NOREC__,NO_GATE_RECORD
726676788,TRANSFER,2026-07-17,,BH-PF,600.0,8571.4,__NOREC__,NO_GATE_RECORD
626070435,INVOICE,2026-07-18,JIVO MART PVT LTD,BH-PF,12800.0,20800.0,2026-07-18T17:45:00.598580+05:30,GONE_before_1Aug
