DOCNUM	DOCDATE	CARDCODE	CARDNAME	WHS	ITEMCODE	ITEMNAME	QTY	SRC
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000151	SANO POMACE OLIVE 5 LTR TIN 4 PCS	120.000000	INVOICE
626070596	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000374	YELLOW MUSTARD OIL 5 LTR TIN 4 PCS	60.000000	INVOICE
626070599	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	821.000000	INVOICE
626070600	2026-07-28	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	116.000000	INVOICE
626070639	2026-07-29	CUSTA000007	ARJUN DASS & SONS PUNJAB NEW	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	800.000000	INVOICE
626070477	2026-07-23	CUSTA001037	SHREE SHYAM JI ENTERPRISES	BH-PF	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	2000.000000	INVOICE
626070479	2026-07-23	CUSTA001037	SHREE SHYAM JI ENTERPRISES	BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	300.000000	INVOICE
626060519	2026-06-30	CUSTA000912	PARSHOTAM LAL VISHWA NATH	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	5976.000000	INVOICE
626070322	2026-07-10	CUSTA000116	HARINDER SINGH & SONS	BH-PF	FG0000169	REFINED COTTON SEED OIL 13 KGS	314.000000	INVOICE
626070319	2026-07-10	CUSTA000116	HARINDER SINGH & SONS	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	3600.000000	INVOICE
626060403	2026-06-19	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	6000.000000	INVOICE
626060404	2026-06-19	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	6000.000000	INVOICE
626070353	2026-07-13	CUSTA000486	WAL MART INDIA PVT LTD	BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	6000.000000	INVOICE
626070345	2026-07-13	CUSTA001109	SAI TRADING COMPANY	BH-PF	FG0000359	SOYABEAN OIL 750 GMS 12 PCS POUCH	11916.000000	INVOICE
626070765	2026-07-31	CUSTA000442	OJAS TRADERS	BH-BT	FG0000005	EXTRA LIGHT OLIVE 1 LTR 16 PCS	3440.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000033	COLD PRESS 1 LTR + 1 LTR COMBO 10 SET	400.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000070	COLD PRESS 2 LTR 10 PCS HANDLE	100.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000143	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	80.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000150	SANO POMACE OLIVE 1 LTR 16 PCS	480.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000032	COLD PRESS 1 LTR 20 PCS	440.000000	INVOICE
626070768	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000042	EXTRA VIRGIN OLIVE 1 LTR 16 PCS	50.000000	INVOICE
626070779	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-BT	FG0000004	COLD PRESS 5 LTR 4 PCS	440.000000	INVOICE
626070764	2026-07-31	CUSTA000171	ANAND ENTERPRISES	BH-PF	FG0000015	REFINED OIL 15 LTR	50.000000	INVOICE
626060541	2026-06-30	CUSTA000872	SAI TRADERS LUDHIANA	BH-PF	FG0000015	REFINED OIL 15 LTR	450.000000	INVOICE
626070297	2026-07-08	CUSTA001039	BRIJ LAL SURINDER KUMAR	BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	835.000000	INVOICE
626070317	2026-07-10	CUSTA000451	SUMIT TRADERS	BH-PF	FG0000444	SOYABEAN OIL 12 KGS (B)	783.000000	INVOICE
626070689	2026-07-31	CUSTA001072	SHREE JEE TRADERS	BH-BT	FG0000306	YELLOW MUSTARD OIL 1 LTR 20 PCS	400.000000	INVOICE
