DOCNUM	DOCDATE	WHS	ITEMNAME	QTY	SRC
626080315	2026-08-11	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626080317	2026-08-11	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	8000.000000	INVOICE
626080318	2026-08-11	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080319	2026-08-11	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	8000.000000	INVOICE
626080340	2026-08-12	BH-BT	SANO MUSTARD OIL 1 LTR 20 PCS	4000.000000	INVOICE
626080327	2026-08-12	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	5.000000	INVOICE
626080327	2026-08-12	BH-BT	COLD PRESS 1 LTR 20 PCS	5.000000	INVOICE
626080342	2026-08-12	BH-BT	SANO MUSTARD OIL 1 LTR 20 PCS	8000.000000	INVOICE
626080331	2026-08-12	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080332	2026-08-12	BH-PF	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	7200.000000	INVOICE
626080333	2026-08-12	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626080334	2026-08-12	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626080335	2026-08-12	BH-PF	COLD PRESS SUNFLOWER 1 LTR 20 PCS	8000.000000	INVOICE
626080337	2026-08-12	BH-BT	COLD PRESS SUNFLOWER 1 LTR 20 PCS	2000.000000	INVOICE
626080337	2026-08-12	BH-BT	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	1600.000000	INVOICE
626080337	2026-08-12	BH-BT	SANO POMACE OLIVE 1 LTR 16 PCS	640.000000	INVOICE
626080337	2026-08-12	BH-BT	COLD PRESS GROUNDNUT OIL 5 LTR 4 PCS	84.000000	INVOICE
626080339	2026-08-12	BH-PF	MUSTARD KACHI GHANI 1 LTR 20 PCS	9000.000000	INVOICE
626080323	2026-08-12	BH-PF	SANO POMACE OLIVE 200 LTR 1 PCS	25.000000	INVOICE
626080232	2026-08-10	BH-BT	MUSTARD KACCHI GHANI 5 LTR 4 PCS	80.000000	INVOICE
626080344	2026-08-12	BH-BT	COLD PRESS 1 LTR 20 PCS	1.000000	INVOICE
626080344	2026-08-12	BH-BT	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	1.000000	INVOICE
626080347	2026-08-12	BH-PF	COLD PRESS SUNFLOWER 5 LTR 4 PCS	1600.000000	INVOICE
626080348	2026-08-12	BH-PF	COLD PRESS SUNFLOWER 5 LTR 4 PCS	1600.000000	INVOICE
626080349	2026-08-12	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	2.000000	INVOICE
626080343	2026-08-12	BH-BT	RICE BRAN OIL 5 LTR 4 PCS	200.000000	INVOICE
626080232	2026-08-10	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS	1600.000000	INVOICE
626080294	2026-08-11	BH-BT	COLD PRESS SUNFLOWER 1 LTR 20 PCS	500.000000	INVOICE
626080294	2026-08-11	BH-BT	RICE BRAN OIL 1 LTR 16 PCS	240.000000	INVOICE
626080295	2026-08-11	BH-BT	COLD PRESS GROUNDNUT OIL 1 LTR 16 PCS	40.000000	INVOICE
626080350	2026-08-12	BH-PF	SOYABEAN OIL 750 GMS 12 PCS POUCH	7200.000000	INVOICE
626080359	2026-08-13	BH-BT	SOYABEAN OIL 5 LTR 4 PCS	320.000000	INVOICE
626080361	2026-08-13	BH-BT	COLD PRESS 5 LTR 4 PCS	400.000000	INVOICE
626080362	2026-08-13	BH-BT	SOYABEAN OIL 5 LTR 4 PCS	260.000000	INVOICE
626080362	2026-08-13	BH-BT	COLD PRESS 2 LTR 10 PCS HANDLE	710.000000	INVOICE
626080363	2026-08-13	BH-BT	SANO MUSTARD OIL 1 LTR 20 PCS	8000.000000	INVOICE
626080360	2026-08-13	BH-PF	SOYABEAN OIL 750 GMS 12 PCS POUCH	9360.000000	INVOICE
626080368	2026-08-14	BH-BT	COLD PRESS 5 LTR 4 PCS	1.000000	INVOICE
626080299	2026-08-11	BH-BT	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	2400.000000	INVOICE
626080369	2026-08-14	BH-BT	SOYABEAN OIL 1 LTR 20 PCS ROUND BOTTLE	2.000000	INVOICE
626080369	2026-08-14	BH-BT	POMACE OLIVE 1 LTR 16 PCS	2.000000	INVOICE
626080355	2026-08-13	BH-BT	COLD PRESS 5 LTR 4 PCS	400.000000	INVOICE
626080261	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	1.000000	INVOICE
626080264	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	1.000000	INVOICE
626080264	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	1.000000	INVOICE
626080237	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	20.000000	INVOICE
626080237	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	21.000000	INVOICE
626080239	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	5.000000	INVOICE
626080304	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	30.000000	INVOICE
626080304	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	16.000000	INVOICE
626080304	2026-08-11	BH-BT	REFINED OIL 1000 MLS	13.000000	INVOICE
626080304	2026-08-11	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	13.000000	INVOICE
626080304	2026-08-11	BH-BT	REFINED OIL 2 LTR	87.000000	INVOICE
626080304	2026-08-11	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	87.000000	INVOICE
626080304	2026-08-11	BH-BT	REFINED OIL 5 LTR	109.000000	INVOICE
626080304	2026-08-11	BH-BT	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	109.000000	INVOICE
626080304	2026-08-11	BH-BT	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	21.000000	INVOICE
626080235	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	2.000000	INVOICE
626080238	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	2.000000	INVOICE
626080316	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	34.000000	INVOICE
626080316	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	54.000000	INVOICE
626080316	2026-08-11	BH-BT	REFINED OIL 1000 MLS	7.000000	INVOICE
626080316	2026-08-11	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	7.000000	INVOICE
626080316	2026-08-11	BH-BT	REFINED OIL 2 LTR	13.000000	INVOICE
626080316	2026-08-11	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	13.000000	INVOICE
626080316	2026-08-11	BH-BT	REFINED OIL 5 LTR	19.000000	INVOICE
626080316	2026-08-11	BH-BT	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	19.000000	INVOICE
626080316	2026-08-11	BH-BT	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	9.000000	INVOICE
626080371	2026-08-17	BH-PF	SANO POMACE OLIVE 200 LTR 1 PCS	25.000000	INVOICE
626080308	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	29.000000	INVOICE
626080308	2026-08-11	BH-BT	REFINED OIL 1000 MLS	5.000000	INVOICE
626080308	2026-08-11	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	5.000000	INVOICE
626080308	2026-08-11	BH-BT	REFINED OIL 5 LTR	1.000000	INVOICE
626080308	2026-08-11	BH-BT	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	1.000000	INVOICE
626080308	2026-08-11	BH-BT	JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD )	1.000000	INVOICE
626080245	2026-08-10	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	8.000000	INVOICE
626080245	2026-08-10	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	5.000000	INVOICE
626080245	2026-08-10	BH-BT	REFINED OIL 2 LTR	2.000000	INVOICE
626080245	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	2.000000	INVOICE
626080278	2026-08-10	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	4.000000	INVOICE
626080278	2026-08-10	BH-BT	REFINED OIL 2 LTR	5.000000	INVOICE
626080278	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	5.000000	INVOICE
626080278	2026-08-10	BH-BT	REFINED OIL 5 LTR	4.000000	INVOICE
626080278	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	4.000000	INVOICE
626080222	2026-08-08	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	2.000000	INVOICE
626080222	2026-08-08	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	14.000000	INVOICE
626080250	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	1.000000	INVOICE
626080306	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	3.000000	INVOICE
626080306	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	9.000000	INVOICE
626080306	2026-08-11	BH-BT	REFINED OIL 1000 MLS	2.000000	INVOICE
626080306	2026-08-11	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	2.000000	INVOICE
626080257	2026-08-10	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	5.000000	INVOICE
626080257	2026-08-10	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	5.000000	INVOICE
626080257	2026-08-10	BH-BT	REFINED OIL 1000 MLS	4.000000	INVOICE
626080257	2026-08-10	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	4.000000	INVOICE
626080257	2026-08-10	BH-BT	REFINED OIL 2 LTR	6.000000	INVOICE
626080257	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	6.000000	INVOICE
626080257	2026-08-10	BH-BT	REFINED OIL 5 LTR	10.000000	INVOICE
626080257	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	10.000000	INVOICE
626080270	2026-08-10	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	1.000000	INVOICE
626080270	2026-08-10	BH-BT	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	2.000000	INVOICE
626080224	2026-08-08	BH-BT	JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD )	1.000000	INVOICE
626080251	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	4.000000	INVOICE
626080286	2026-08-10	BH-BT	REFINED OIL 1000 MLS	12.000000	INVOICE
626080286	2026-08-10	BH-BT	MUSTARD OIL 100 MLS 20 PCS(CSD)	12.000000	INVOICE
626080286	2026-08-10	BH-BT	REFINED OIL 2 LTR	10.000000	INVOICE
626080286	2026-08-10	BH-BT	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	10.000000	INVOICE
626080249	2026-08-10	BH-BT	JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD )	2.000000	INVOICE
626080309	2026-08-11	BH-BT	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	2.000000	INVOICE
626080309	2026-08-11	BH-BT	REFINED OIL 1000 MLS	1.000000	INVOICE
