whs,code,name,grp,onhand_now,move,pcs,lpc,how,litres
BH-BT,FG0000054,COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS,102,98.0,98.0,0.0,5.0,combo 4+1 L,0.0
BH-BT,FG0000070,COLD PRESS 2 LTR 10 PCS HANDLE,102,2506.0,2506.0,0.0,2.0,ltr in name,0.0
BH-BT,FG0000082,DESI GHEE A2 500 MLS 16 PCS,102,66.0,66.0,0.0,0.5,ml in name,0.0
BH-BT,FG0000083,DESI GHEE A2 1 LTR 9 PCS,102,0.0,0.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000088,COLD PRESS 1 LTR +1 LTR COMBO 10 SET PLAIN,102,1200.0,1200.0,0.0,2.0,combo 1+1 L,0.0
BH-BT,FG0000104,EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD),102,50.0,50.0,0.0,0.1,ml in name,0.0
BH-BT,FG0000105,EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD),102,29.0,29.0,0.0,0.25,ml in name,0.0
BH-BT,FG0000116,EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS,102,1.0,1.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000128,JIVO GOLD 5 LTR 4 PCS,102,27.0,27.0,0.0,5.0,ltr in name,0.0
BH-BT,FG0000133,COLD PRESSED SUNFLOWER OIL 2 LTR 10 PCS HANDLE,102,39.0,39.0,0.0,2.0,ltr in name,0.0
BH-BT,FG0000134,SANO CANOLA OIL 1 LTR 20 PCS,102,908.0,908.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000145,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS,102,2.0,2.0,0.0,6.0,combo 5+1 L,0.0
BH-BT,FG0000146,COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED,102,21.0,21.0,0.0,6.0,combo 5+1 L,0.0
BH-BT,FG0000154,MUSTARD OIL 100 MLS 20 PCS(CSD),102,12.0,12.0,0.0,0.1,ml in name,0.0
BH-BT,FG0000157,EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS,102,1022.0,1022.0,0.0,0.5,ml in name,0.0
BH-BT,FG0000188,ZANO EXTRA LIGHT OLIVE 1 LTR 16 PCS,102,34.0,34.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000228,SO OLIVE OIL 1 LTR 16 PCS,102,744.0,744.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000242,SANO SUNFLOWER OIL 869 GMS 20 PCS,102,173.0,173.0,0.0,0.954945054945055,869g @910g/L,0.0
BH-BT,FG0000243,SANO MUSTARD OIL 869 GMS 20 PCS,102,79.0,79.0,0.0,0.954945054945055,869g @910g/L,0.0
BH-BT,FG0000255,DESI GHEE 1000 MLS 12 PCS,102,480.0,480.0,0.0,1.0,ml in name,0.0
BH-BT,FG0000271,DESI GHEE 1000 MLS 9 PCS STEELJAR,102,8.0,8.0,0.0,1.0,ml in name,0.0
BH-BT,FG0000305,JAITOON OIL 5 LTR 4 PCS,102,6.0,6.0,0.0,5.0,ltr in name,0.0
BH-BT,FG0000307,POMACE OLIVE 1 LTR 16 PCS HANNA,102,542.0,542.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000322,LE CHEF POMACE  1 LTR 16 PCS,102,3088.0,3088.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000324,SESAME OIL 1 LTR 20 PCS,102,1497.0,1497.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000344,JIVO PREMIUM OIL GIFT BOX,102,282.0,0.0,282.0,,unparsed,
BH-BT,FG0000348,RICE BRAN OIL 4 LTR 5 PCS,102,634.0,634.0,0.0,4.0,ltr in name,0.0
BH-BT,FG0000370,EXTRA LIGHT OLIVE 3 LTR TIN 2 PCS,102,79.0,79.0,0.0,3.0,ltr in name,0.0
BH-BT,FG0000377,ILAHI EXTRA VIRGIN OLIVE 1 LTR 12 PCS,102,156.0,156.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000381,EXTRA VIRGIN OLIVE OIL 10ML,102,495.0,495.0,0.0,0.01,ml in name,0.0
BH-BT,FG0000394,JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD ),102,3.0,3.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000395,JIVO EXTRA VIRGIN COCONUT OIL 1 LTR 16 PCS ( CSD ),102,0.0,0.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000396,JIVO EXTRA VIRGIN OLIVE OIL 1 LTR 16 PCS ( CSD ),102,0.0,0.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000397,JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD ),102,1.0,1.0,0.0,0.5,ml in name,0.0
BH-BT,FG0000398,JIVO EXTRA LIGHT OLIVE OIL 1 LTR 16 PCS ( CSD ),102,0.0,0.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000399,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD ),102,5.0,5.0,0.0,5.0,ltr in name,0.0
BH-BT,FG0000400,JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD),102,24.0,24.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000404,COLD PRESS 4 LTR (NIRMAL RISHI ) + EXTRA LIGHT OLIVE 1 LTR 5 PCS,102,85.0,85.0,0.0,5.0,combo 4+1 L,0.0
BH-BT,FG0000405,COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS,102,25.0,25.0,0.0,5.0,combo 4+1 L,0.0
BH-BT,FG0000422,JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS,102,742.0,742.0,0.0,0.954945054945055,869g @910g/L,0.0
BH-BT,FG0000423,COLD PRESS SUNFLOWER 1 LTR 24 PCS,102,16.0,16.0,0.0,1.0,ltr in name,0.0
BH-BT,FG0000441,COLD PRESS GROUNDNUT 200 MLS 70 PCS - BH,102,2890.0,2890.0,0.0,0.2,ml in name,0.0
BH-BT,FG0000454,COLD PRESS GROUNDNUT 500 MLS 24 PCS,102,576.0,576.0,0.0,0.5,ml in name,0.0
BH-PF,SF0000001,SOYABEAN OIL 13 KGS TIN IMP,115,0.0,-1800.0,1800.0,14.285714285714286,13kg @910g/L,25714.285714285717
