WHS	ITEMCODE	ITEMNAME	GRP	PCS_CLOSE_0801
BH-BT	FG0000157	EXTRA VIRGIN COCONUT OIL 500 MLS 24 PCS	102	48.000000
BH-PF	FG0000316	SOYABEAN OIL 13 KGS (B)	102	29.000000
BH-BT	FG0000226	RICE BRAN OIL 5 LTR 4 PCS	102	2072.000000
BH-BT	FG0000105	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	102	0.000000
BH-BT	FG0000400	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL1 LTR 20 PCS(CSD)	102	0.000000
BH-BT	FG0000399	JIVO KACHI GHANI COLD PRESSED MUSTARD OIL 5 LTR 4 PCS ( CSD )	102	0.000000
BH-BT	FG0000154	MUSTARD OIL 100 MLS 20 PCS(CSD)	102	0.000000
BH-BT	FG0000016	REFINED OIL 2 LTR	102	0.000000
BH-BT	FG0000104	EXTRA LIGHT OLIVE 100 MLS 10 PCS(CSD)	102	9.000000
BH-PF	FG0000043	COLD PRESS 3 LTR 6 PCS	102	0.000000
BH-PF	FG0000021	REFINED OIL 1 LTR POUCH 12 PCS	102	73.000000
BH-BT	FG0000394	JIVO POMACE OLIVE OIL 1 LTR 16 PCS ( CSD )	102	0.000000
BH-BT	FG0000397	JIVO EXTRA VIRGIN OLIVE OIL 500 MLS 24 PCS ( CSD )	102	0.000000
BH-PF	FG0000194	SOYABEAN OIL 1 LTR POUCH 12 PCS	102	20283.000000
BH-PF	FG0000178	MUSTARD KACHI GHANI 15 KGS	102	661.000000
BH-PF	FG0000367	SANO POMACE OLIVE OIL 15 L	102	0.000000
BH-BT	FG0000043	COLD PRESS 3 LTR 6 PCS	102	20.000000
BH-PF	FG0000328	SANO POMACE OLIVE 200 LTR 1 PCS	102	0.000000
BH-BT	FG0000185	BB ROYAL BLENDED OIL OLIVE + RICE BRAN 1 LTR 20 PCS	102	982.000000
BH-BT	FG0000183	BB ROYAL CANOLA OIL 1 LTR 20 PCS	102	839.000000
BH-BT	FG0000070	COLD PRESS 2 LTR 10 PCS HANDLE	102	0.000000
BH-BT	FG0000047	COLD PRESS 3 LTR + EXTRA LIGHT OLIVE 1 LTR 6 PCS	102	0.000000
BH-BT	FG0000405	COLD PRESS 4 LTR (NIRMAL RISHI ) + POMACE OLIVE 1 LTR 5 PCS	102	0.000000
BH-BT	FG0000054	COLD PRESS 4 LTR + EXTRA LIGHT OLIVE 1 LTR 5 PCS	102	0.000000
BH-BT	FG0000146	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 3 PCS SHRINKED	102	0.000000
BH-BT	FG0000145	COLD PRESS 5 LTR + POMACE OLIVE 1 LTR 4 PCS	102	0.000000
BH-BT	FG0000423	COLD PRESS SUNFLOWER 1 LTR 24 PCS	102	0.000000
BH-BT	FG0000377	ILAHI EXTRA VIRGIN OLIVE 1 LTR 12 PCS	102	0.000000
BH-BT	FG0000305	JAITOON OIL 5 LTR 4 PCS	102	0.000000
BH-BT	FG0000422	JIVO MUSTARD KACCHI GHANI 869 GMS 20 PCS	102	0.000000
BH-BT	FG0000014	MINIATURE OLIVE 100 MLS 24 PCS	102	192.000000
BH-BT	FG0000031	MUSTARD PAKKI GHANI 1 LTR 20 PCS	102	0.000000
BH-BT	FG0000029	MUSTARD PAKKI GHANI 2 LTR 10 PCS	102	60.000000
BH-BT	FG0000012	MUSTARD PAKKI GHANI 5 LTR 4 PCS	102	4.000000
BH-BT	FG0000307	POMACE OLIVE 1 LTR 16 PCS HANNA	102	0.000000
BH-BT	FG0000013	REFINED OIL 1000 MLS	102	0.000000
BH-BT	FG0000020	REFINED OIL 5 LTR	102	5.000000
BH-BT	FG0000227	RICE BRAN OIL 1 LTR 16 PCS	102	5847.000000
BH-BT	FG0000134	SANO CANOLA OIL 1 LTR 20 PCS	102	18.000000
BH-BT	FG0000136	SANO MUSTARD OIL 1 LTR 20 PCS	102	4555.000000
BH-BT	FG0000243	SANO MUSTARD OIL 869 GMS 20 PCS	102	0.000000
BH-BT	FG0000242	SANO SUNFLOWER OIL 869 GMS 20 PCS	102	0.000000
BH-BT	FG0000193	SOYABEAN OIL 1 LTR 20 PCS	102	76.000000
BH-BT	FG0000188	ZANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	102	0.000000
BH-PF	FG0000299	SOYABEAN OIL 700 GMS POUCH 12 PCS	102	19890.000000
BH-PF	FG0000015	REFINED OIL 15 LTR	102	448.000000
BH-PF	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	102	256.000000
BH-BT	FG0000407	COLD PRESS 1 LTR (NIRMAL RISHI )20 PCS	102	563.000000
BH-BT	FG0000379	MUSTARD KACHI GHANI 1 LTR 20 PCS ROUND BOTTLE	102	1133.000000
BH-BT	FG0000192	SOYABEAN OIL 5 LTR 4 PCS	102	3.000000
BH-BT	FG0000023	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 1 LTR 3 PCS SHRINKED	102	3.000000
BH-BT	FG0000045	POMACE OLIVE 500 MLS 24 PCS	102	1966.000000
BH-BT	FG0000161	EXTRA VIRGIN OLIVE 500 MLS 24 PCS	102	23.000000
BH-PF	FG0000030	MUSTARD KACHI GHANI 1 LTR 20 PCS	102	0.000000
