WHS	ITEMCODE	D	MV
BH-PF	FG0000397	2026-07-02	0.000000
BH-PF	FG0000398	2026-07-02	0.000000
BH-PF	FG0000394	2026-07-02	0.000000
BH-PF	FG0000030	2026-07-02	20380.000000
BH-PF	FG0000016	2026-07-02	0.000000
BH-PF	FG0000020	2026-07-02	28.000000
BH-PF	FG0000396	2026-07-02	23.000000
BH-PF	FG0000299	2026-07-02	-1800.000000
BH-PF	FG0000399	2026-07-02	334.000000
BH-PF	FG0000008	2026-07-02	16.000000
BH-PF	FG0000028	2026-07-02	0.000000
BH-PF	FG0000032	2026-07-02	2460.000000
BH-PF	FG0000407	2026-07-02	0.000000
BH-PF	FG0000070	2026-07-02	850.000000
BH-PF	FG0000400	2026-07-03	0.000000
BH-PF	FG0000154	2026-07-03	0.000000
BH-PF	FG0000104	2026-07-03	0.000000
BH-PF	FG0000399	2026-07-03	-334.000000
BH-PF	FG0000396	2026-07-03	-23.000000
BH-PF	FG0000020	2026-07-03	-28.000000
BH-PF	FG0000395	2026-07-03	0.000000
BH-PF	FG0000143	2026-07-03	-176.000000
BH-PF	FG0000030	2026-07-03	-14400.000000
BH-PF	FG0000359	2026-07-03	21996.000000
BH-PF	FG0000227	2026-07-03	0.000000
BH-PF	FG0000383	2026-07-03	-100.000000
BH-PF	FG0000015	2026-07-03	-61.000000
BH-PF	FG0000088	2026-07-04	0.000000
BH-PF	FG0000030	2026-07-04	-5800.000000
BH-PF	FG0000083	2026-07-04	-1.000000
BH-PF	FG0000405	2026-07-04	-473.000000
BH-PF	FG0000028	2026-07-04	0.000000
BH-PF	FG0000407	2026-07-04	2018.000000
BH-PF	FG0000032	2026-07-04	512.000000
BH-PF	FG0000033	2026-07-04	996.000000
BH-PF	FG0000189	2026-07-04	1043.000000
BH-PF	FG0000015	2026-07-04	61.000000
BH-PF	FG0000275	2026-07-04	213.000000
BH-PF	FG0000130	2026-07-04	15.000000
BH-PF	FG0000011	2026-07-06	0.000000
BH-PF	FG0000142	2026-07-06	5424.000000
BH-PF	FG0000130	2026-07-06	-15.000000
BH-PF	FG0000407	2026-07-06	-3200.000000
BH-PF	FG0000032	2026-07-06	-3200.000000
BH-PF	FG0000151	2026-07-06	-416.000000
BH-PF	FG0000081	2026-07-06	0.000000
BH-PF	FG0000028	2026-07-06	2880.000000
BH-PF	FG0000070	2026-07-04	2.000000
BH-PF	FG0000047	2026-07-04	2.000000
BH-PF	FG0000054	2026-07-04	13.000000
BH-PF	FG0000414	2026-07-04	2.000000
BH-PF	FG0000145	2026-07-04	44.000000
BH-PF	FG0000268	2026-07-04	0.500000
BH-PF	FG0000305	2026-07-04	1.000000
BH-PF	FG0000422	2026-07-04	22.000000
BH-PF	FG0000038	2026-07-04	5.000000
BH-PF	FG0000106	2026-07-04	3.000000
BH-PF	FG0000154	2026-07-04	1.000000
BH-PF	FG0000012	2026-07-04	3.000000
BH-PF	FG0000021	2026-07-04	1.000000
BH-PF	FG0000016	2026-07-04	2.000000
BH-PF	FG0000020	2026-07-04	6.000000
BH-PF	FG0000134	2026-07-04	1.000000
BH-PF	FG0000136	2026-07-04	21.000000
BH-PF	FG0000150	2026-07-04	2.000000
BH-PF	FG0000242	2026-07-04	1.000000
BH-PF	FG0000324	2026-07-04	9.000000
BH-PF	FG0000228	2026-07-04	2.000000
BH-PF	FG0000192	2026-07-04	2.000000
BH-PF	FG0000299	2026-07-04	54.000000
BH-PF	FG0000030	2026-07-06	9660.000000
BH-PF	FG0000142	2026-07-07	0.000000
BH-PF	FG0000116	2026-07-03	483.000000
BH-PF	FG0000042	2026-07-03	250.000000
BH-PF	FG0000028	2026-07-03	256.000000
