WHS	ITEMCODE	ITEMNAME	ONHAND
BH-PF	FG0000223	JIVO DESI GHEE 1 LTR 16 PCS	0.000000
BH-PF	FG0000108	COLD PRESS SOYABEAN 15 LTR	0.000000
BH-PF	FG0000168	REFINED COTTON SEED OIL 15 KGS	0.000000
BH-PF	FG0000213	MULTI VITAMIN MEN	0.000000
BH-PF	FG0000132	RICE BRAN OIL 15 LTR	0.000000
BH-PF	FG0000199	SPICES CUMIN SEEDS 100 GMS	0.000000
BH-PF	FG0000147	SANO EXTRA LIGHT OLIVE 1 LTR 16 PCS	0.000000
BH-PF	FG0000162	SANO OLIVE CLASSIC 1 LTR 16 PCS	0.000000
BH-PF	FG0000218	HONEY 500 GMS 12 PCS	0.000000
BH-PF	FG0000195	SPICES BLACK CARDAMOM 100 GMS	0.000000
BH-PF	FG0000217	SANO HONEY 500 GMS	0.000000
BH-PF	FG0000216	SANO HONEY 1 KGS	0.000000
BH-PF	FG0000174	DESI GHEE A2 USA 500 GMS 1 PCS	0.000000
BH-PF	FG0000006	POMACE OLIVE 200 LTR 1 PCS	0.000000
BH-PF	FG0000130	COLD PRESS SUNFLOWER 200 LTR 1 PCS	0.000000
BH-PF	FG0000187	ZANO EXTRA VIRGIN OLIVE1 LTR 16 PCS	0.000000
BH-PF	FG0000152	SANO OLIVE CLASSIC 5 LTR TIN 4 PCS	0.000000
BH-PF	FG0000086	COLD PRESS SOYABEAN 1 LTR 20 PCS	0.000000
BH-PF	FG0000109	COLD PRESS SOYABEAN OIL 1 LTR POUCH 12 PCS	0.000000
BH-PF	FG0000158	REFINED COTTON SEED OIL 15 LTR	0.000000
BH-PF	FG0000045	POMACE OLIVE 500 MLS 24 PCS	0.000000
BH-PF	FG0000164	EXTRA VIRGIN OLIVE 200 MLS 36 PCS	0.000000
BH-PF	FG0000105	EXTRA LIGHT OLIVE 250 MLS 4 PCS(CSD)	0.000000
BH-PF	FG0000020	REFINED OIL 5 LTR	0.000000
BH-PF	FG0000137	SANO MUSTARD OIL 5 LTR 4 PCS	0.000000
BH-PF	FG0000236	FLAX SEED 400 GMS 1 PCS	0.000000
BH-PF	FG0000237	PUMPKIN SEEDS 800 GM 1 PCS	0.000000
BH-PF	FG0000238	PUMPKIN SEEDS 400 GM 1 PCS	0.000000
BH-PF	FG0000239	BASIL SEED 800 GMS 1 PCS	0.000000
BH-PF	FG0000232	SO OLIVE OIL 5 LTR 4 PCS	0.000000
BH-PF	FG0000268	COLD PRESS SUNFLOWER 5 LTR 2 PCS ( 1 SET )	0.000000
BH-PF	FG0000244	SUNFLOWER SEEDS 400 GMS 1 PCS	0.000000
BH-PF	FG0000246	WOODEN GIFT PACK 100 GMS EACH (RAISIN+ALMOND+CASHEW SALTED+PISTACHIO SALTED)	0.000000
BH-PF	FG0000254	PET BOTTLE 500 MLS MANGO 18 PCS	0.000000
BH-BT	FG0000051	COLD PRESS 5 LTR 4 PCS + CHOCOS 375 GMS	0.000000
BH-BT	FG0000052	COLD PRESS 5 LTR + EXTRA LIGHT OLIVE 500 MLS 3 PCS SHRINKED	0.000000
BH-BT	FG0000055	COLD PRESS 5 LTR 1 PCS	0.000000
BH-BT	FG0000099	SUNFLOWER SEEDS 250 GMS 1 PCS	0.000000
BH-BT	FG0000100	PUMPKIN SEEDS 250 GMS 1 PCS	0.000000
BH-BT	FG0000101	FLAX SEEDS 250 GMS 1 POUCH	0.000000
BH-BT	FG0000102	BASIL SEEDS 250 GMS 1 POUCH	0.000000
BH-BT	FG0000103	DESI GHEE 700 ML 12 PCS	0.000000
BH-BT	FG0000107	COLD PRESS 5 LTR 5 PCS + 100 GMS COFFEE	0.000000
BH-BT	FG0000108	COLD PRESS SOYABEAN 15 LTR	0.000000
BH-BT	FG0000110	POMACE OLIVE 5 LTR TIN 4 PCS IMPORTED	0.000000
BH-BT	FG0000111	EXTRA LIGHT OLIVE 5 LTR TIN 4 PCS IMPORTED	0.000000
BH-BT	FG0000113	COLD PRESS 5 LTR 4 PCS + 100 GMS COFFEE	0.000000
BH-BT	FG0000115	COLD PRESS 5 LTR 5 PCS + CASSROLE	0.000000
BH-BT	FG0000118	CANOLA OIL 5 LTR 4 PCS	0.000000
BH-BT	FG0000119	CANOLA OIL 5 LTR 4 PCS + 100 CASH BACK	0.000000
BH-BT	FG0000120	CANOLA OIL 5 LTR + 1 OLIVE 4 PCS	0.000000
BH-BT	FG0000121	CANOLA OIL 1 LTR 20 PCS	0.000000
BH-BT	FG0000122	CANOLA OIL 1 LTR 24 PCS	0.000000
BH-BT	FG0000124	CANOLA OIL 5 LTR + OLIVE 1 LTR 3 PCS SHRINKED	0.000000
BH-BT	FG0000125	CANOLA OIL 1 LTR + 1 LTR COMBO 10 SET PLAIN	0.000000
BH-BT	FG0000126	CANOLA OIL 5 LTR 5 PCS + EXTRA LIGHT OLIVE 500 MLS	0.000000
BH-BT	FG0000127	CANOLA OIL 5 LTR + OLIVE 1 LTR 3 PCS SHRINKED PLAIN	0.000000
